state,county_name,municipality,name,address,polling_place_type
SD,Hamlin,Estelline,Estelline Community Center,"219 Main St N, Estelline",polling_place
SD,Hamlin,Hayti,Hayti Fire Hall,"214 Main Ave, Hayti",polling_place
SD,Hamlin,Hazel,Hazel Fire Hall,"19 W William, Hazel",polling_place
SD,Hamlin,Lake Norden,Lake Norden Firehall,"600 Main Ave, Lake Norden",polling_place
SD,Hamlin,Thomas,Oxford Township Hall,"18097 450 Ave, Thomas",polling_place
SD,Hand,Wessington,Doug Schiltz home,"19951 369 Ave., Wessington",polling_place
SD,Hand,Miller,Hand County Courthouse,"415 W. 1st Avenue, Miller",polling_place
SD,Hand,Miller,Methodist Church,"610 E. 4th Avenue, Miller",polling_place
SD,Hand,Orient,Polo School,"17989 Polo Drive, Orient",polling_place
SD,Hand,Ree Heights,Ree Heights Auditorium,"209 S. Dakota Avenue, Ree Heights",polling_place
SD,Hand,St. Lawrence,St. Lawrence Fire Hall,"106 N. Commercial Drive, St. Lawrence",polling_place
SD,Hand,Zell,St. Mary's Hall,"37295 US Hwy 212, Zell",polling_place
SD,Hand,Miller,Sunshine Bible Academy,"400 Sunshine Dr, Miller",polling_place
SD,Hanson,Alexandria,Alexandria City Hall,"421 Main St., Alexandria",polling_place
SD,Hanson,Emery,Emery Fire Hall,"130 N 4th St., Emery",polling_place
SD,Hanson,Fulton,Fulton Community Hall,"217 N Main, Fulton",polling_place
SD,Hanson,Alexandria,Hanson County Courthouse,"720 5th St., Alexandria",polling_place
SD,Harding,Camp Crook,Camp Crook Area Community Center,"Main Street, Camp Crook",polling_place
SD,Harding,Buffalo,Harding County Memorial REC,"204 Hodge Street, Buffalo",polling_place
SD,Harding,Ludlow,Ludlow Hall,"10796 US Hwy 85, Ludlow",polling_place
SD,Harding,Reva,Reva Hall,"14753 SD Hwy 20, Reva",polling_place
SD,Hughes,Blunt,Blunt City Hall,"208 N. Main, Blunt",vote_center
SD,Hughes,Pierre,Faith Lutheran Church,"714 N. Grand, Pierre",vote_center
SD,Hughes,Harrold,Harrold City Auditorium,"206 S. Nixon, Harrold",vote_center
SD,Hughes,Pierre,Hyde Residence,"31815 E. SD Hwy 34, Pierre",vote_center
SD,Hughes,Pierre,Lutheran Memorial Church,"320 E Prospect Ave, Pierre",vote_center
SD,Hughes,Pierre,New Life Assembly of God Church,"1120 N. Harrison, Pierre",vote_center
SD,Hughes,Pierre,PILC Rec Center,"3001 E. Sully, Pierre",vote_center
SD,Hutchinson,Freeman,City Council Room,"185 E Third St, Freeman",polling_place
SD,Hutchinson,Clayton,Clayton Township Hall,"27213 427th Ave, Clayton",polling_place
