state,county_name,municipality,precinct_name,name,address,polling_place_type
SD,Corson,Firesteel,Stone Church Precinct,Gary Pederson Residence,"BIA Road #4, 12521 245th Ave, Firesteel",polling_place
SD,Corson,Wakpala,Wakpala Precinct,Wakpala Community Center,"Wakpala Community Center, Wakpala",polling_place
SD,Corson,McLaughlin,West Rural McLaughlinPrecinct,McLaughlin City Auditorium,"Main Street, McLaughlin",polling_place
SD,Custer,Hermosa,Precinct-01,Hermosa United Church of Christ,"102 2nd St N, Hermosa",polling_place
SD,Custer,Fairburn,Precinct-02,Fairburn Community & HistoricalCenter,"710 2nd St, Fairburn",polling_place
SD,Custer,Buffalo Gap,Precinct-03,Buffalo Gap Community Center,"209 Main St, Buffalo Gap",polling_place
SD,Custer,Pringle,Precinct-04,Pringle Fire Auxillary Hall,"436 Railway, Pringle",polling_place
SD,Custer,Custer,Precinct-05,Custer County Courthouse Annex,"447 Crook St, Custer",polling_place
SD,Custer,Custer,Precinct-06,Custer County Courthouse Annex,"447 Crook St, Custer",polling_place
SD,Custer,Custer,Precinct-07,Custer County Courthouse Annex,"447 Crook St, Custer",polling_place
SD,Custer,Custer,Precinct-08,Custer County Courthouse Annex,"447 Crook St, Custer",polling_place
SD,Custer,Custer,Precinct-09,Custer County Highway Dept Bldg,"25365 US Hwy 385, Custer",polling_place
SD,Custer,Rural,Precinct-10,Elk Mountain School,"10222 Valley Rd, Rural",polling_place
SD,Davison,Ethan,Precinct-01,Ethan Town Hall,"201 West Main, Ethan",polling_place
SD,Davison,Mt. Vernon,Precinct-02,Mt. Vernon Senior Citizens Center,"NULL, Mt. Vernon",polling_place
SD,Davison,Mitchell,Precinct-03,Davison County Fairgrounds,"3200 W Havens, Mitchell",polling_place
SD,Davison,Mitchell,Precinct-04,Davison County Fairgrounds,"3200 W Havens, Mitchell",polling_place
SD,Davison,Mitchell,Precinct-05,Davison County Fairgrounds,"3200 W Havens, Mitchell",polling_place
SD,Davison,Mitchell,Precinct-06,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-07,Corn Palace,"601 N Main St, Mitchell",polling_place
SD,Davison,Mitchell,Precinct-07,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-08,Corn Palace,"601 N Main St, Mitchell",polling_place
SD,Davison,Mitchell,Precinct-09,Corn Palace,"601 N Main St, Mitchell",polling_place
SD,Davison,Mitchell,Precinct-09,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-10,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-11,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-12,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-13,Corn Palace,"601 N Main St, Mitchell",polling_place
SD,Davison,Mitchell,Precinct-13,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-14,Corn Palace,"604 N. Main St., Mitchell",polling_place
SD,Davison,Mitchell,Precinct-15,Corn Palace,"604 N. Main St., Mitchell",polling_place
