election_date,state,jurisdiction_type,county_name,polling_place_id,precinct_id,name,address
2018-11-06,GA,county,BIBB,011114,HO5,FOREST HILL UNITED METHODIST CHURCH,"1217 FOREST HILL RD, MACON, GA 31210"
2018-11-06,GA,county,BIBB,011048,VV6,FOREST HILLS @ RIDGE,"3187 RIDGE AVE., MACON, GA 31204"
2018-11-06,GA,county,BIBB,011111,VV3,GLORIOUS HOPE BAPTIST CHURCH,"3805 NAPIER AVE, MACON, GA 31204"
2018-11-06,GA,county,BIBB,011004,VV4,GREATER BELLEVUE BAPTIST CHURCH,"4041 MUMFORD RD, MACON, GA 31204"
2018-11-06,GA,county,BIBB,011044,GF5,HARVEST CATHEDRAL - BLDG #1,"2254 ROCKY CREEK RD., MACON, GA 31206"
2018-11-06,GA,county,BIBB,011113,HO2,HOWARD COMMUNITY CLUB,"5645 FORSYTH RD, MACON, GA 31210"
2018-11-06,GA,county,BIBB,011021,HA2,LAKE WILDWOOD CLUBHOUSE,"100 CLUBHOUSE RD, MACON, GA 31220"
2018-11-06,GA,county,BIBB,011023,WA1,LIZELLA BAPTIST CHURCH-CH HALL,"2950 S LIZELLA RD, LIZELLA, GA 31052"
2018-11-06,GA,county,BIBB,011112,WA2,MACON EVANGELISTIC CHURCH,"5399 HARTLEY BRIDGE RD, MACON, GA 31216"
2018-11-06,GA,county,BIBB,011025,HA3,MIDDLE GEORGIA STATE UNIVERSITY - GYM LOBBY,"100 UNIVERSITY PKWY, MACON, GA 31206"
2018-11-06,GA,county,BIBB,011029,RU1,MIKADO BAPT CH-FELLOWSHIP HALL,"6751 HOUSTON RD, MACON, GA 31216"
2018-11-06,GA,county,BIBB,011042,EM4,NEW GRISWOLDVILLE BAPT CHURCH,"3003 TRUITT PL., MACON, GA 31211"
2018-11-06,GA,county,BIBB,011110,HA4,NEW HEIGHTS CHURCH,"158 LAMAR RD, MACON, GA 31220"
2018-11-06,GA,county,BIBB,011040,EM3,NORTHEAST MAGNET HIGH SCHOOL,"1646 UPPER RIVER RD., MACON, GA 31211"
2018-11-06,GA,county,BIBB,011036,VV5,NORTHMINISTER PRESBYTERIAN CHURCH,"565 WIMBISH RD, MACON, GA 31210"
2018-11-06,GA,county,BIBB,011054,HO7,NORTHSIDE CHRISTIAN CHURCH,"5024 NORTHSIDE DR, MACON, GA 31210"
2018-11-06,GA,county,BIBB,011002,HO1,NORTHWAY CHURCH,"5915 ZEBULON RD, MACON, GA 31210"
2018-11-06,GA,county,BIBB,011038,RU2,PORTERFIELD BAPT. CH. -CH HALL,"2910 ALLEN RD., MACON, GA 31216"
2018-11-06,GA,county,BIBB,011105,VV1,PROFESSIONAL LEARNING CENTER,"2003 RIVERSIDE DR, MACON, GA 31204"
2018-11-06,GA,county,BIBB,011006,EM1,RIVER EDGE BEHAV/HEALTH DEPT.,"175 EMERY HWY., MACON, GA 31217"
2018-11-06,GA,county,BIBB,011027,HO6,ST FRANCIS EPISCOPAL CHURCH,"432 FOREST HILL RD, MACON, GA 31210"
2018-11-06,GA,county,BIBB,011041,EM2,ST PAUL AME CHURCH,"2501 SHURLING DR., MACON, GA 31211"
2018-11-06,GA,county,BIBB,011097,HO4,THERON USSERY RECREATION CENTER,"815 NORTH MACON PARK DR, MACON, GA 31210"
2018-11-06,GA,county,BIBB,011024,HO3,TURNING POINT AT MABEL  WHITE BAPTIST CHURCH,"1415 BASS RD, MACON, GA 31210"
