state,county_name,jurisdiction_type,precinct_name,name,address,polling_location_type
OK,,county,KINGFISHER COUNTY PRECINCT 370106,ERVIN/JANET YOUNG RESIDENCE,"81/CRESCENT BLKTOP  1-1/2 E, DOVER OK 73734",polling_location
OK,,county,BECKHAM COUNTY PRECINCT 050111,BM BAPTIST ASSOCIATION,1906 N WATTS SAYRE OK 73662,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090202,RICHLAND NAZARENE CHURCH,10825 N 6TH ST YUKON OK 73099,polling_location
OK,,county,TULSA COUNTY PRECINCT 720145,TULSA TECH ALLIANCE & CONF CTR,801 E 91 ST TULSA OK 74132,polling_location
OK,,county,TULSA COUNTY PRECINCT 720753,OWASSO COMMUNITY CENTER,301 S CEDAR ST OWASSO OK 74055,polling_location
OK,,county,ADAIR COUNTY PRECINCT 010013,FAITH TABERNACLE CHURCH, STILWELL OK 74960,polling_location
OK,,county,CADDO COUNTY PRECINCT 080022,ANADARKO COMMUNITY LIBRARY,215 W BROADWAY ANADARKO OK 73005,polling_location
OK,,county,COMANCHE COUNTY PRECINCT 160048,CITY HALL,100 MAIN ST GERONIMO OK 73543,polling_location
OK,,county,ALFALFA COUNTY PRECINCT 020330,JET COMMUNITY BUILDING, JET OK 73749,polling_location
OK,,county,PITTSBURG COUNTY PRECINCT 610003,FIRST BAPTIST CHURCH,100 E WASHINGTON MC ALESTER OK 74501,polling_location
OK,,county,CARTER COUNTY PRECINCT 100002,HEARTLAND PLAZA ASSISTED LIV.,"HEARTLAND PLAZA,ACTIV. DIREC. ARDMORE OK 73401",polling_location
OK,,county,CARTER COUNTY PRECINCT 100019,CHICKASAW LIBRARY,601 RAILWAY EXPRESS ARDMORE OK 73401,polling_location
OK,,county,CADDO COUNTY PRECINCT 080715,ALDEN FIRE DEPARTMENT,40030 STATE HIGHWAY #58 CARNEGIE OK 73015,polling_location
OK,,county,CARTER COUNTY PRECINCT 100062,MARY NIBLACK BAPTIST CHURCH,898 MARY NIBLACK RD ARDMORE OK 73401,polling_location
OK,,county,TULSA COUNTY PRECINCT 720706,SOUTH COUNTY RECREATION CENTER,13800 S PEORIA AVE BIXBY OK 74008,polling_location
OK,,county,DEWEY COUNTY PRECINCT 220005,VICI FIRST CHRISTIAN CHURCH,124 S. MAIN ST. VICI OK 73859,polling_location
OK,,county,COMANCHE COUNTY PRECINCT 160050,HOLY FAMILY CATHOLIC CHURCH,1010 NW 82 ST LAWTON OK 73505,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550043,WATERLOO ROAD BAPTIST CHURCH,3100 E WATERLOO RD EDMOND OK 73034,polling_location
OK,,county,GARFIELD COUNTY PRECINCT 240204,FIRST ASSEMBLY OF GOD CHURCH,905 N OAKWOOD RD ENID OK 73703,polling_location
OK,,county,GARFIELD COUNTY PRECINCT 240101,FIRST MISSIONARY BAPTIST,467 E GARRIOTT RD ENID OK 73701,polling_location
OK,,county,OSAGE COUNTY PRECINCT 570101,BOWRING SCHOOL,87 CR 3304 RD PAWHUSKA OK 74056,polling_location
OK,,county,TULSA COUNTY PRECINCT 720353,LEONARD FIRST BAPTIST CHURCH,15711 E 168 ST S LEONARD OK 74043,polling_location
OK,,county,GARFIELD COUNTY PRECINCT 240104,GANTZ CENTER ROOM #100,100 S UNIVERSITY AVE ENID OK 73701,polling_location
OK,,county,DELAWARE COUNTY PRECINCT 210003,MONKEY ISLAND FIRE DEPT.,"56298 E. 295 RD,IN PORT DUNCAN MONKEY ISLAND OK 74331",polling_location
OK,,county,TULSA COUNTY PRECINCT 720049,CHURCH OF CHRIST,829 S ROCKFORD AVE TULSA OK 74120,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090308,LAKEHOMA CHURCH OF CHRIST,2124 W STATE HWY 152 MUSTANG OK 73064,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090309,LAKEHOMA CHURCH OF CHRIST,2124 W STATE HWY 152 MUSTANG OK 73064,polling_location
OK,,county,CARTER COUNTY PRECINCT 100015,SO TECH CENTER,2610 SAN NOBLE PKWY ARDMORE OK 73401,polling_location
OK,,county,PONTOTOC COUNTY PRECINCT 620064,HAPPYLAND FREEWILL BAPT CHURCH,22787 HIGHWAY 1E ADA OK 74820,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090214,TOWN & COUNTRY CHRISTIAN CHURC,2200 S CORNWELL DR YUKON OK 73099,polling_location
OK,,county,LOGAN COUNTY PRECINCT 420308,FIRST ASSEMBLY OF GOD CHURCH,1900 S. DIVISION GUTHRIE OK 73044,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090403,SCOTT BAPTIST CHURCH,24550 STATE HIGHWAY 37 HINTON OK 73047,polling_location
OK,,county,PAYNE COUNTY PRECINCT 600404,PAYNE CTY. EXPO CENTER,4518 EXPO DRIVE STILLWATER OK 74074,polling_location
OK,,county,CHEROKEE COUNTY PRECINCT 110013,BRIGGS SCHOOL,17210 S 569 RD TAHLEQUAH OK 74464,polling_location
OK,,county,HUGHES COUNTY PRECINCT 320012,PENTECOSTAL HOLINESS CHURCH,310 N. ECHO HOLDENVILLE OK 74848,polling_location
OK,,county,TULSA COUNTY PRECINCT 720076,CHURCH OF CHRIST,2901 S YALE AVE TULSA OK 74114,polling_location
OK,,county,GARFIELD COUNTY PRECINCT 240107,PLEASANT VALLEY CHURCH,3 MILES S & 1 1/2 E OF WAUKOMIS OK 73773,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090204,YUKON FIRST CHURCH OF NAZARENE,525 E MAIN STREET IN YUKON YUKON OK 73099,polling_location
OK,,county,PAWNEE COUNTY PRECINCT 590111,HALLETT COMMUNITY CENTER,EAST OF HWY 99 ON 4TH STREET HALLETT OK 74034,polling_location
OK,,county,TULSA COUNTY PRECINCT 720083,WHITESIDE COMMUNITY CENTER,4009 S PITTSBURG AVE TULSA OK 74135,polling_location
OK,,county,CHOCTAW COUNTY PRECINCT 120209,GRANT NUTRITION CENTER,EAST OF OLD POST OFFICE NEXT GRANT OK 74738,polling_location
OK,,county,BEAVER COUNTY PRECINCT 040031,BALKO SCHOOL,"HWY 3,BETWEEN ELMWOOD & BRYANS BALKO OK 73931",polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550076,CIVIC CLUB COMMUNITY CENTER,18120 HOGBACK RD LUTHER OK 73054,polling_location
OK,,county,JACKSON COUNTY PRECINCT 330021,HEADRICK COMMUNITY CENTER,P.O. BOX 153 HEADRICK OK 73549,polling_location
OK,,county,LEFLORE COUNTY PRECINCT 400202,CHURCH OF THE NAZARENE,CORNER OF GRAND AVE WISTER OK 74966,polling_location
OK,,county,BRYAN COUNTY PRECINCT 070022,COLEMAN AVE. CH. OF CHRIST,212 WEST COLEMAN AVENUE COLBERT OK 74733,polling_location
OK,,county,KINGFISHER COUNTY PRECINCT 370101,KINGFISHER MEMORIAL LIBRARY,505 W. WILL ROGERS DR. KINGFISHER OK 73750,polling_location
OK,,county,KAY COUNTY PRECINCT 360400,MASONIC LODGE,88 INDUSTRIAL BLVD NEWKIRK OK 74647,polling_location
OK,,county,GARFIELD COUNTY PRECINCT 240302,NORTH GARLAND CHURCH OF CHRIST,703 N GARLAND RD ENID OK 73703,polling_location
OK,,county,CADDO COUNTY PRECINCT 080102,CARNEGIE SENIOR NUTRITION CTR,215 S. CARNEGIE AVE. CARNEGIE OK 73015,polling_location
OK,,county,CLEVELAND COUNTY PRECINCT 140008,ST. JOHN'S EPISCOPAL CHURCH,235 W DUFFY NORMAN OK 73069,polling_location
OK,,county,LINCOLN COUNTY PRECINCT 410013,CARNEY COMMUNITY CENTER,101 S. HWY 177 CARNEY OK 74832,polling_location
OK,,county,TULSA COUNTY PRECINCT 720102,BRIARGLEN ELEM SCHOOL,3303 S 121 E AVE TULSA OK 74145,polling_location
OK,,county,CADDO COUNTY PRECINCT 081010,BINGER COMMUNITY CENTER,208 WEST MAIN BINGER OK 73009,polling_location
OK,,county,SEQUOYAH COUNTY PRECINCT 680206,OLD MCKEY SCHOOL PP,NO. OF MCKEY HILL SALLISAW OK 74955,polling_location
OK,,county,LEFLORE COUNTY PRECINCT 400312,FIRST BAPTIST CHURCH,20499 CHURCH RD- HODGEN HODGEN OK 74939,polling_location
OK,,county,McINTOSH COUNTY PRECINCT 460310,HANNA COMMUNITY CENTER,MAIN STREET HANNA OK 74845,polling_location
OK,,county,ATOKA COUNTY PRECINCT 030016,CANEY COMMUNITY BUILDING,203 N COBB AVE CANEY OK 74533,polling_location
OK,,county,TULSA COUNTY PRECINCT 720079,NATHAN HALE LIBRARY,6038 E 23 ST TULSA OK 74114,polling_location
OK,,county,TULSA COUNTY PRECINCT 720469,ST FRANCIS HALL,301 S 9 ST BROKEN ARROW OK 74012,polling_location
OK,,county,TULSA COUNTY PRECINCT 720159,HARDESTY REGIONAL LIBRARY,8316 E 93 ST TULSA OK 74133,polling_location
OK,,county,ADAIR COUNTY PRECINCT 010014,CHRISTIAN CHURCH 2ND ST,CHRISTIAN CHURCH STILWELL OK 74960,polling_location
OK,,county,ADAIR COUNTY PRECINCT 010016,SKELLY SCHOOL,OLD CHEWEY CHURCH BLDG WATTS OK 74964,polling_location
OK,,county,LOGAN COUNTY PRECINCT 420204,GUTHRIE HOUSING AUTHORITY,1524 EAST PERKINS GUTHRIE OK 73044,polling_location
OK,,county,OTTAWA COUNTY PRECINCT 580031,OTTAWA TRIBAL BLDG.,11400 S 613 RD MIAMI OK 74354,polling_location
OK,,county,TULSA COUNTY PRECINCT 720112,VICTORY CHRISTIAN CENTER,7700 S LEWIS AVE TULSA OK 74136,polling_location
OK,,county,GRADY COUNTY PRECINCT 260006,MICHIGAN AVE BAPTIST CHURCH,728 MICHIGAN AVE CHICKASHA OK 73018,polling_location
OK,,county,GREER COUNTY PRECINCT 280103,TRINITY BAPTIST CHURCH,1812 N PENNSYLVANIA MANGUM OK 73554,polling_location
OK,,county,OSAGE COUNTY PRECINCT 570204,OSAGE OAKS CHURCH OF GOD,2100 W 93 N ST SPERRY OK 74073,polling_location
OK,,county,PUSHMATAHA COUNTY PRECINCT 640008,FINLEY COMMUNITY BUILDING,0000 FINLEY OK 74543,polling_location
OK,,county,TULSA COUNTY PRECINCT 720128,EAGLE POINT DAY ROOM,5808 E 71 ST TULSA OK 74136,polling_location
OK,,county,TULSA COUNTY PRECINCT 720037,FIRST LUTHERAN CHURCH,1244 S UTICA AVE TULSA OK 74104,polling_location
OK,,county,CUSTER COUNTY PRECINCT 200018,PINE ACRES MENNONITE CHURCH,1321 LARK STREET WEATHERFORD OK 73096,polling_location
OK,,county,TULSA COUNTY PRECINCT 720003,TURLEY ASSEMBLY OF GOD CH,6301 N PEORIA AVE TULSA OK 74126,polling_location
OK,,county,JACKSON COUNTY PRECINCT 330020,WARREN CHURCH OF CHRIST,15399 S CR 211 BLAIR OK 73526,polling_location
