state,election_date,jurisdiction,county_name,precinct_name,name,address,polling_location_type
AR,2018-11-06,county,,03-12,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,03-15,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,01-12,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,05-4,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,08-4,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-11,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-12,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-13,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-09,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-10,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,10-03,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,10-09,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,10-10,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,13-04,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,14-01,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-18,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-14,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-15,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-16,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-17,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-11,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-12,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,12-02,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-14,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,01-13,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,01-14,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,01-15,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,01-16,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,03-17,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,03-18,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,13.05,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-15,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,02-12,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,02-13,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,08-5,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-16,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,02-14,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,02-15,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-17,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,10-11,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,01-17,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,01-18,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,02-16,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,02-17,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,02-18,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,03-19,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,03-20,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-18,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,09-19,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,10-12,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-21,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-19,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-20,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,11-22,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,13-06,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,02-19,Courthouse,210 SOUTH MAIN Monticello AR 71655,polling_location
AR,2018-11-06,county,,Ple-2 DM SZ 03 JP 04 CD 04,Deer School,  AR ,polling_location
AR,2018-11-06,county,,Ple-3 DM SZ 04 JP 04 CD 04,Deer School,  AR ,polling_location
AR,2018-11-06,county,,Ple-4 DM SZ 05 JP 07 CD 04,Deer School,  AR ,polling_location
AR,2018-11-06,county,,Ple-1 DM SZ 04 JP 07 CD 04,Deer School,  AR ,polling_location
AR,2018-11-06,county,,Ple-5 DM SZ 03 JP 07 CD 04,Deer School,  AR ,polling_location
AR,2018-11-06,county,,999.1,Bear Creek Community Bldg,10889 S Hwy 27 Marshall AR 72650,polling_location
AR,2018-11-06,county,,Van-4 J SZ 02 JP 03 CD 04,Boxley Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,Van-5 J SZ 03 JP 03 CD 04,Boxley Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,999.1,Boxley Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,Van-6 J SZ 04 JP 03 CD 04,Boxley Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,Van-3 DM SZ 05 JP 03 CD 04,Boxley Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,14-COU036A1-90R,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,14-COU036A1-90A,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,14-COU036A1-90S,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,13-COU036A1-61A-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,13-COU036A1-61R-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,14-COU036A1-61A-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,14-COU036A1-61R-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,14-COU036A1-61S-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,14-GAR136A1-61R-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,14-GAR136A1-90R,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,14-GAR236A1-61R-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,73-COU036A1-90R,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,73-GAT036A1-90R,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,73-COU036A1-61R-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,73-GAT036A1-61R-3,VC-15 NEBCO Community Building,17823 MARSHALL ST Garfield AR 72732,polling_location
AR,2018-11-06,county,,CV-01-C3-300-JP1-R80-S5-CV,Cedarville First Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,CV-02-C3-440-JP1-R80-S5-CV,Cedarville First Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,CV-03-C3-441-JP1-R80-S5-CV,Cedarville First Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,COVE-01-C3-440-JP1-R80-S5-CV,Cedarville First Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,COVE-02-C3-JP1-R80-S5-UNK,Cedarville First Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,LEE-01-C3-440-JP1-R80-S5-CV,Cedarville First Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,LEE-02-C3-440-JP1-R80-S-5-UNK,Cedarville First Baptist Church,  AR ,polling_location
AR,2018-11-06,county,,Whi-1 J SD JP 02 CD 03,Log Hall Church,  AR ,polling_location
AR,2018-11-06,county,,Whi-2 DM 02 JP 02 CD 03,Log Hall Church,  AR ,polling_location
AR,2018-11-06,county,,Whi-3 DM 03 JP 02 CD 03,Log Hall Church,  AR ,polling_location
AR,2018-11-06,county,,Whi-4 J SZ 05 JP 02 CD 03,Log Hall Church,  AR ,polling_location
AR,2018-11-06,county,,Whi-6 OM SZ 01 JP 02 CD 03,Log Hall Church,  AR ,polling_location
AR,2018-11-06,county,,Whi-7 OM SZ 02 JP 02 CD 03,Log Hall Church,  AR ,polling_location
AR,2018-11-06,county,,Wh-5 J SZ 07 JP 02 CD 03,Log Hall Church,  AR ,polling_location
AR,2018-11-06,county,,68.01,Chenal Valley Church of Christ,16025 Taylor Loop Rd Little Rock AR 72223,polling_location
AR,2018-11-06,county,,68.02,Chenal Valley Church of Christ,16025 Taylor Loop Rd Little Rock AR 72223,polling_location
AR,2018-11-06,county,,68.03,Chenal Valley Church of Christ,16025 Taylor Loop Rd Little Rock AR 72223,polling_location
AR,2018-11-06,county,,68.04,Chenal Valley Church of Christ,16025 Taylor Loop Rd Little Rock AR 72223,polling_location
AR,2018-11-06,county,,68.05,Chenal Valley Church of Christ,16025 Taylor Loop Rd Little Rock AR 72223,polling_location
AR,2018-11-06,county,,68.06,Chenal Valley Church of Christ,16025 Taylor Loop Rd Little Rock AR 72223,polling_location
AR,2018-11-06,county,,04-1,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-2,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-3,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-4,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-5,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-6,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-7,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-8,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-9,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-10,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-11,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-12,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,04-13,Star City Civic Center-Cane Creek 1,201 Liberty St. Star City AR 71667,polling_location
AR,2018-11-06,county,,Pon-6 ALP SD JP 03 CD 04,Compton School,   ,polling_location
AR,2018-11-06,county,,Pon-7 HSN SD JP 03 CD 04,Compton School,   ,polling_location
AR,2018-11-06,county,,Pon-8 J SZ 03 JP 03 CD 04,Compton School,   ,polling_location
AR,2018-11-06,county,,009-1,Drasco General Baptist Church,6800 Heber Springs Road N. Drasco AR 72530,polling_location
AR,2018-11-06,county,,009-2,Drasco General Baptist Church,6800 Heber Springs Road N. Drasco AR 72530,polling_location
AR,2018-11-06,county,,014-1,Drasco General Baptist Church,6800 Heber Springs Road N. Drasco AR 72530,polling_location
AR,2018-11-06,county,,014-2,Drasco General Baptist Church,6800 Heber Springs Road N. Drasco AR 72530,polling_location
AR,2018-11-06,county,,Mur-1 DM SZ 05 JP 09 CD 04,Murray Community Building,  AR ,polling_location
AR,2018-11-06,county,,Mur-2 J SZ 04 JP 09 CD 04,Murray Community Building,  AR ,polling_location
AR,2018-11-06,county,,JUN-1 rural,Junction City - City Hall,207 N. Main Junction City AR 71749,polling_location
AR,2018-11-06,county,,JUN-2 inside city limits,Junction City - City Hall,207 N. Main Junction City AR 71749,polling_location
AR,2018-11-06,county,,JUN-3 rural,Junction City - City Hall,207 N. Main Junction City AR 71749,polling_location
AR,2018-11-06,county,,JUN-5 inside city limits,Junction City - City Hall,207 N. Main Junction City AR 71749,polling_location
AR,2018-11-06,county,,JUN-6 inside city limits,Junction City - City Hall,207 N. Main Junction City AR 71749,polling_location
AR,2018-11-06,county,,JUN-4 rural,Junction City - City Hall,207 N. Main Junction City AR 71749,polling_location
AR,2018-11-06,county,,JUN-7 inside city limits,Junction City - City Hall,207 N. Main Junction City AR 71749,polling_location
AR,2018-11-06,county,,JUN-8 inside city limits,Junction City - City Hall,207 N. Main Junction City AR 71749,polling_location
AR,2018-11-06,county,,Has-2 OM 01 JP 05 CD 03,Hasty Firestation,  AR ,polling_location
AR,2018-11-06,county,,Has-3 OM 02 JP 05 CD 03,Hasty Firestation,  AR ,polling_location
