state,jurisdiction_type,county_name,municipality,precinct_id,name,address
ME,county,Cumberland,CUMBERLAND,1-1,Cumberland Town Hall ,"290 Tuttle Road, Cumberland "
ME,county,Knox,CUSHING,1-1,Cushing Community Center ,"39 Cross Road, Cushing "
ME,county,Washington,CUTLER,1-1,Cutler Town Office-Library ,"2655 Cutler Road, Cutler "
ME,county,Aroostook,CYR PLT,1-1,Governor Brann School House ,"218 Caribou Road, Rt #1, Cyr Plt"
ME,county,Franklin,DALLAS PLT,1-1,Dallas Plantation Townhouse,"436 Dallas Hill Road, Rangeley"
ME,county,Lincoln,DAMARISCOTTA,1-1,Damariscotta Town Hall ,"21 School Street, Damariscotta "
ME,county,Washington,DANFORTH (and Brookton Twp),1-1,Danforth Town Hall ,"52 Depot Street, Danforth (and Brookton Twp)"
ME,county,York,DAYTON,1-1,Dayton Town Office ,"33 Clarks Mills Road, Dayton "
ME,county,Washington,DEBLOIS,1-1,Deblois Town Hall,"8 Lane Road, Deblois"
ME,county,Hancock,DEDHAM,1-1,Dedham Fire Station ,"8 Bald Mountain Road, Dedham "
ME,county,Hancock,DEER ISLE,1-1,Deer Isle Municipal Building,"70 Church Street, Deer Isle "
ME,county,Oxford,DENMARK,1-1,Denmark Municipal Building,"62 East Main Street, Denmark "
ME,county,Somerset,DENNISTOWN PLT,1-1,Moose River Town Office ,"705 Main Street, Dennistown Plt"
ME,county,Washington,DENNYSVILLE (and Edmunds Twp),1-1,Town Office/Community Center,"2 Main Street, Dennysville "
ME,county,Somerset,DETROIT,1-1,DRCS Town Hall ,"35 South Main Street, Detroit "
ME,county,Penobscot,DEXTER,1-1,Dexter Town Hall ,"10 Hall Street, Dexter "
ME,county,Oxford,DIXFIELD ,1-1,American Legion,"8 River Lane, Dixfield "
ME,county,Penobscot,DIXMONT,1-1,Dixmont Town Office ,"758 Western Avenue, Dixmont "
ME,county,Piscataquis,DOVER-FOXCROFT,1-1,Dover-Foxcroft Municipal Gymnasium,"48 Morton Avenue, Dover-Foxcroft "
ME,county,Lincoln,DRESDEN ,1-1,Pownalborough Hall ,"314 Patterson Road, Dresden "
ME,county,Penobscot,DREW PLT ,1-1,Drew Plt. Fire Building/ Town Hall ,"65 Center Street, Drew Plt"
ME,county,Androscoggin,DURHAM,1-1,Durham Community School ,"654 Hallowell Road, Durham "
ME,county,Aroostook,DYER BROOK,1-1,Dyer Brook Town Office ,"864 Dyer Brook Road, Dyer Brook "
