state,election_date,jurisdiction_type,jurisdiction,precinct_name,precinct_id,name,address,polling_place_type
CT,2016-11-08,town,Bristol,West Bristol School,078-02,West Bristol School,"500 Clark Avenue, Bristol, CT 06010",polling_place
CT,2016-11-08,town,Brookfield,Brookfield High School,002-00,Brookfield High School,"Long Meadow Hill Road, Brookfield, CT 06804",polling_place
CT,2016-11-08,town,Brookfield,Huckleberry Hill School,001-00,Huckleberry Hill School,"Candlewood Lake Road, Brookfield, CT 06804",polling_place
CT,2016-11-08,town,Brooklyn,Brooklyn Middle School,001-00,Brooklyn Middle School,"119 Gorman Road, Brooklyn, CT 06234",polling_place
CT,2016-11-08,town,Burlington,Town Hall,001-00,Town Hall,"200 Spielman Highway, Burlington, CT 06013",polling_place
CT,2016-11-08,town,Canaan,Canaan Town Hall,001-00,Canaan Town Hall,"108 Main Street, Falls Village, CT 06031",polling_place
CT,2016-11-08,town,Canterbury,Canterbury Town Hall,001-00,Canterbury Town Hall,"1 Municipal Drive, Canterbury, CT 06331",polling_place
CT,2016-11-08,town,Canton,Canton High School,001-00,Canton High School,"76 Simonds Ave, Canton Ct, CT 06019",polling_place
CT,2016-11-08,town,Chaplin,Chaplin Volunteer Fire Department,001-00,Chaplin Volunteer Fire Department,"106 Phoenixville Road, Chaplin, CT 06235",polling_place
CT,2016-11-08,town,Cheshire,Artsplace - District 3,003-00,Artsplace - District 3,"1220 Waterbury Road, Cheshire, CT ",polling_place
CT,2016-11-08,town,Cheshire,Cheshire High School - Dist. 1,001-00,Cheshire High School - Dist. 1,"525 S. Main Street, Cheshire, CT ",polling_place
CT,2016-11-08,town,Cheshire,Chapman School - Dist. 2,002-00,Chapman School - Dist. 2,"38 Country Club Rd, Cheshire, CT 06410",polling_place
CT,2016-11-08,town,Cheshire,Doolittle School - Dist. 5,005-00,Doolittle School - Dist. 5,"735 Cornwall Ave, Cheshire, CT 06410",polling_place
CT,2016-11-08,town,Cheshire,Dodd Middle School - Dist. 7,007-00,Dodd Middle School - Dist. 7,"100 Park Place, Cheshire, CT 06410",polling_place
CT,2016-11-08,town,Cheshire,Highland School - Dist. 6,006-00,Highland School - Dist. 6,"490 Highland Avenue, Cheshire, CT 06410",polling_place
