state,county_name,precinct_name,precinct_id,name,address
VA,,202 - SEDDON,202,LUTHERAN PRESBYTERIAN FELLOWSHIP HALL,685 Main Street Bland VA 24315
VA,,101 - WARD ONE,101,SCHOOL BOARD OFFICE,103 N 12th Ave Hopewell VA  23860-2310
VA,,212 - YORKSHIRE,212,YORKSHIRE ELEMENTARY SCHOOL,7610 Old Centreville Road Manassas VA 20111
VA,,708 - SEVEN HUNDRED EIGHT,708,Main Street Station,1500 East Main Street Richmond VA  23219-3675
VA,,308 - MONTCLAIR,308,MONTCLAIR ELEMENTARY SCHOOL,4920 Tallowwood Dr Dumfries VA  22025-3030
VA,,401 - BURKS FORK,401,WILLIS ELEMENTARY SCHOOL,5075 Floyd Hwy S WILLIS VA 24380
VA,,005 - FIFTH,005,TUSSING ELEMENTARY SCHOOL,5501 Conduit Rd Colonial Heights VA  23834-2121
VA,,104 - MOUTH OF WILSON,104,OAK HILL ACADEMY,2335 OAK HILL ROAD mouth of wilson VA 24363
VA,,301 - THIRD WARD FIRST PRECINCT,301,LYNCHBURG PUBLIC LIBRARY,2315 Memorial Ave Lynchburg VA  24501-2650
VA,,303 - GRAHAM PARK,303,GRAHAM PARK MIDDLE SCHOOL,3613 Graham Park Rd Triangle VA  22172-1108
VA,,325 - HUTCHISON,325,HUTCHISON ELEMENTARY SCHOOL,13209 Parcher Ave Herndon VA  20170-4333
VA,,603 - GODWIN,603,GODWIN MIDDLE SCHOOL,14800 Darbydale Ave Woodbridge VA  22193-2763
VA,,404 - SINCLAIR,404,SINCLAIR ELEMENTARY SCHOOL,7801 Garner Dr Manassas VA  20109-3102
VA,,006 - WOLFTOWN,006,RAPIDAN BAPTIST CHURCH,150 RAPIDAN CHURCH LANE WOLFTOWN VA 22748
VA,,406 - ALVEY,406,ALVEY ELEMENTARY SCHOOL,5300 Waverly Farm Rd Haymarket VA  20169-3179
VA,,201 - CRIMORA,201,CRIMORA UNITED METHODIST CHURCH,1691 New Hope And Crimora Rd Crimora VA  24431-2210
VA,,107 - MARSTELLER,107,MARSTELLER MIDDLE SCHOOL,14000 Sudley Manor Dr Bristow VA  20136-2572
VA,,201 - LITTLE RIVER,201,FLOYD COUNTY RESCUE SQUAD,452 Floyd Hwy N Floyd VA  24091-2635
VA,,310 - FOREST PARK,310,FOREST PARK HIGH SCHOOL,15721 Forest Park Drive WOODBRIDGE VA 22193
VA,,302 - RIVERTON,302,NORTH WARREN FIRE DEPARTMENT,266 ROCKLAND CT FRONT ROYAL VA 22630
VA,,403 - BULL RUN,403,BULL RUN MIDDLE SCHOOL,6308 Catharpin Road Gainesville VA 20155
VA,,401 - BATTLEFIELD,401,BATTLEFIELD ELEM SCHOOL,5501 Mechanicsville Tpke Mechanicsville VA  23111-6400
VA,,104 - MASSAPONAX,104,MASSAPONAX HIGH SCHOOL,8201 Jefferson Davis Hwy Fredericksburg VA  22407-8721
VA,,032 - GRANDIN COURT,032,GRANDIN COURT SCHOOL,2815 Spessard Ave SW Roanoke VA  24015-4215
VA,,606 - BEL AIR,606,BEL AIR ELEMENTARY SCHOOL,14151 Ferndale Rd Woodbridge VA  22193-2103
