county_name,precinct_name,name,address,polling_place_type,state,polling_place_id,notes,precinct_id
Coconino,51 - SUMMIT FIRE STATION #33: HWY 89,SUMMIT FIRE STATION #33: HWY,"6050 E FIREHOUSE LN, HWY 89/PAST OLD 2ND CHANCE BUILDING FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,53 - CHEVELON BUTTE SCHOOL BUILDING,CHEVELON BUTTE SCHOOL BUILDING,"3031 OLD RIM RD, LIBRARY COMMUNITY ROOM FOREST LAKES, AZ 85931",polling_place,AZ,,,
Coconino,55 - SHEPHERD OF THE HILLS LUTHERAN CHURCH,SHEPHERD OF THE HILLS LUTHERAN CHURCH,"1601 N SAN FRANCISCO ST, FLAGSTAFF, AZ 86001",polling_place,AZ,,,
Coconino,58 - FREDONIA FIRE STATION,FREDONIA FIRE STATION,"20 WEST BROWN ST, FREDONIA, AZ 86022",polling_place,AZ,,,
Coconino,59 - SHRINE OF THE AGES,GRAND CANYON VILLAGE,"GRAND CANYON, AZ 86023",polling_place,AZ,,,
Coconino,60 - COMMUNITY LEARNING ACTIVITY CENTER,SUPAI VILLAGE,"SUPAI, AZ 86435",polling_place,AZ,,,
Coconino,61 - TS'AH BII KIN COMMUNITY CHURCH,TS'AH BII KIN (FORMERLY INSCRIPTION HOUSE),"INSCRIPTION HOUSE, AZ",polling_place,AZ,,,
Coconino,62 - HIGHLANDS FIRE STATION,HIGHLANDS FIRE STATION,"3350 OLD MUNDS PARK HWY, FLAGSTAFF, AZ 86005",polling_place,AZ,,,
Coconino,64 - KAIBAB ESTATES WEST FIRE STATION,KAIBAB ESTATES WEST FIRE STATION,"3905 N DOUBLE A RANCH RD, ASH FORK, AZ 86320",polling_place,AZ,,,
Coconino,65 - KAIBETO SENIOR CENTER,KAIBETO SENIOR CENTER,"KAIBETO, AZ 86053",polling_place,AZ,,,
Coconino,67 - LECHEE CHAPTER,LECHEE CHAPTER,"R-20 COPPERMINE RD, LECHEE, AZ 86040",polling_place,AZ,,,
Coconino,69 - LEUPP CHAPTER HOUSE,LEUPP CHAPTER HOUSE,"LEUPP, AZ 86035",polling_place,AZ,,,
Coconino,70 - UPPER MOENKOPI COMMUNITY CENTER,UPPER MOENKOPI VILLAGE,"MOENKOPI, AZ 86045",polling_place,AZ,,,
Coconino,71 - COMMUNITY ARIZONA WAREHOUSE,COMMUNITY ARIZONA WAREHOUSE,"NAVAJO MOUNTAIN, AZ 86044",polling_place,AZ,,,
Coconino,72 - CITY OF PAGE TOWNHOUSE,CITY OF PAGE TOWNHOUSE,"605 S NAVAJO DR, PAGE, AZ 86040",polling_place,AZ,,,
Coconino,73 - PAGE CAVIAT SCHOOL,PAGE CAVIAT SCHOOL,"19 POPLAR ST, PAGE, AZ 86040",polling_place,AZ,,,
Coconino,74 - FAITH BIBLE CHURCH,FAITH BIBLE CHURCH,"551 SAN FRANCISCO RD, PAGE, AZ 86040",polling_place,AZ,,,
Coconino,75 - PAGE CITY HALL,PAGE CITY HALL,"697 VISTA AVE, COUNCIL CHAMBERS PAGE, AZ 86040",polling_place,AZ,,,
Coconino,79 - MAINE CONSOLIDATED SCHOOL,MAINE CONSOLIDATED SCHOOL,"10 N SPRING VALLEY RD, PARKS, AZ 86018",polling_place,AZ,,,
Coconino,80 - PINEWOOD FIRE STATION,PINEWOOD FIRE STATION,"475 E PINEWOOD BLVD, MUNDS PARK, AZ 86017",polling_place,AZ,,,
Coconino,83 - CHRIST LUTHERAN CHURCH,CHRIST LUTHERAN CHURCH,"25 CHAPEL RD, SEDONA, AZ 86336",polling_place,AZ,,,
Coconino,85 - CROMER ELEMENTARY SCHOOL,CROMER ELEMENTARY SCHOOL,"7150 SILVER SADDLE RD, MUSIC ROOM FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,88 - TOLANI LAKE CHAPTER HOUSE,TOLANI LAKE CHAPTER HOUSE,"TOLANI LAKE, AZ 86035",polling_place,AZ,,,
Coconino,90 - TONALEA SENIOR CITIZEN CENTER,TONALEA SENIOR CITIZEN CENTER,"TONALEA, AZ 86044",polling_place,AZ,,,
Coconino,92 - SUMMIT FIRE STATION #31: COSNINO RD,SUMMIT FIRE STATION #31: COSNINO RD,"6425 N COSNINO RD, FLAGSTAFF, AZ 86004",polling_place,AZ,,,
Coconino,93 - TUBA CITY HIGH SCHOOL - VOTE CENTER,TUBA CITY HIGH SCHOOL,"67 WARRIOR DR, WARRIOR PAVILION WRESTLING RM TUBA CITY, AZ 86045",vote_center,AZ,,,
Coconino,94 - TUBA CITY HIGH SCHOOL - VOTE CENTER,TUBA CITY HIGH SCHOOL,"67 WARRIOR DR, WARRIOR PAVILION WRESTLING RM TUBA CITY, AZ 86045",vote_center,AZ,,,
Coconino,95 - TUBA CITY HIGH SCHOOL - VOTE CENTER,TUBA CITY HIGH SCHOOL,"67 WARRIOR DR, WARRIOR PAVILION WRESTLING RM TUBA CITY, AZ 86045",vote_center,AZ,,,
Coconino,97 - TUSAYAN TOWN HALL,TUSAYAN TOWN HALL,"845 MUSTANG DRIVE, TUSAYAN, AZ 86023",polling_place,AZ,,,
Coconino,98 - GRAND CANYON RAILWAY HOTEL,GRAND CANYON RAILWAY HOTEL,"235 N GRAND CANYON BLVD, GRAND CANYON ROOM WILLIAMS, AZ 86046",polling_place,AZ,,,
Coconino,99 - ST JOHNS EPISCOPAL-LUTHERAN CHURCH,ST JOHNS EPISCOPAL-LUTHERAN CHURCH,"202 W GRANT AVE, WILLIAMS, AZ 86046",polling_place,AZ,,,
Gila,CANYON DAY JR. HIGH SCHOOL,CANYON DAY JR. HIGH SCHOOL,"4621 SOUTH 9TH STREET, CANYON DAY, AZ 85941",polling_place,AZ,,,
Gila,CARRIZO ASSEMBLY OF GOD CHURCH,CARRIZO ASSEMBLY OF GOD CHURCH,"V-10 ROAD, CARRIZO, AZ",polling_place,AZ,,,
Gila,CHRISTOPHER CREEK BIBLE FELLOWSHIP CHURCH,CHRISTOPHER CREEK BIBLE FELLOWSHIP CHURCH,"1036 CHRISTOPHER CREEK LOOP, PAYSON, AZ 85541",polling_place,AZ,,,
Gila,EAST VERDE BAPTIST CHURCH,EAST VERDE BAPTIST CHURCH,"11209 N HOUSTON MESA RD, PAYSON, AZ 85541",polling_place,AZ,,,
Gila,EXPEDITION CHURCH - VOTE CENTER,EXPEDITION CHURCH,"302 SOUTH ASH STREET, PAYSON, AZ 85541",vote_center,AZ,,,
Gila,FIRST BAPTIST CHURCH OF PINE,FIRST BAPTIST CHURCH OF PINE,"4039 N AZ HWY 87, PINE, AZ 85544",polling_place,AZ,,,
Gila,FIRST CHURCH OF THE NAZARENE - VOTE CENTER,FIRST CHURCH OF THE NAZARENE - VOTE CENTER,"200 E TYLER PARKWAY PAYSON, AZ 85541",vote_center,AZ,,,
