state,jurisdiction_type,precinct_name,name,municipality,address,notes
VT,town/city,Burlington - Ward 5,Burlington Electric Department,Burlington - Ward 5,,
VT,town/city,Burlington - Ward 6,Edmunds Middle School,Burlington - Ward 6,,
VT,town/city,Burlington - Ward 7,Miller Recreation Center,Burlington - Ward 7,,
VT,town/city,Cabot,School Gym,Cabot,,
VT,town/city,Calais,Town Hall,Calais,,
VT,town/city,Cambridge,Elementary School Gym,Cambridge,,
VT,town/city,Canaan,Municipal Office,Canaan,,
VT,town/city,Castleton,Gallery of Fine Arts Center at Castleton State College,Castleton,,
VT,town/city,Cavendish,Town Elementary School,Cavendish,,
VT,town/city,Charleston,Charleston Elementary School,Charleston,,
VT,town/city,Charlotte,Central School Multi-Purpose Room,Charlotte,,
VT,town/city,Chelsea,Town Hall,Chelsea,,
VT,town/city,Chester,Town Hall - Second Floor,Chester,,
VT,town/city,Chittenden,Town Hall,Chittenden,,
VT,town/city,Clarendon,Town Hall,Clarendon,,
VT,town/city,Colchester-Chit-9-1 ,Meeting House,Colchester-Chit-9-1 ,,
VT,town/city,Colchester -Chit-9-2,High School,Colchester -Chit-9-2,,
VT,town/city,Concord,Town Hall,Concord,,
VT,town/city,Corinth,Town Hall,Corinth,,
VT,town/city,Cornwall,Town Hall,Cornwall,,
VT,town/city,Coventry,Community Center,Coventry,,
VT,town/city,Craftsbury,Town Hall,Craftsbury,,
VT,town/city,Danby,Municipal Building,Danby,,
VT,town/city,Danville,Town Hall,Danville,,
VT,town/city,Derby,Municipal Building,Derby,,
VT,town/city,Dorset,The Dorset School,Dorset,,
VT,town/city,Dover,Town Hall,Dover,,
VT,town/city,Dummerston,Dummerston Center Congregational Church,Dummerston,,
VT,town/city,Duxbury,Crossett Brook Middle School,Duxbury,,
VT,town/city,East Haven,Community Building,East Haven,,
VT,town/city,East Montpelier,Elementary School,East Montpelier,,
VT,town/city,Eden,Town Clerk's Office,Eden,,
VT,town/city,Elmore,Town Clerk's Office,Elmore,,
VT,town/city,Enosburgh,Emergency Services Building,Enosburgh,,
VT,town/city,Essex - Chit-8-1 and 8-3,Middle School,Essex - Chit-8-1 and 8-3,,
VT,town/city,Essex - Chit-8-2,High School,Essex - Chit-8-2,,
VT,town/city,Fair Haven,American Legion Post#49,Fair Haven,,
VT,town/city,Fairfax,"BFA Fairfax, Old Gym",Fairfax,,
VT,town/city,Fairfield,Fairfield Center School Gym,Fairfield,,
VT,town/city,Fairlee,Town Hall,Fairlee,,
VT,town/city,Fayston,Municipal Building,Fayston,,
VT,town/city,Ferrisburgh,Central School,Ferrisburgh,,
VT,town/city,Fletcher,Elementary School,Fletcher,,
VT,town/city,Franklin,Town Hall,Franklin,,
VT,town/city,Georgia,Elementary & Middle School,Georgia,,
VT,town/city,Glover,Town Hall,Glover,,
VT,town/city,Goshen,Town Hall,Goshen,,
VT,town/city,Grafton,Town Hall,Grafton,,
VT,town/city,Granby,Town Hall,Granby,,
VT,town/city,Grand Isle,Town Office,Grand Isle,,
VT,town/city,Granville,Town Clerk's Office,Granville,,
VT,town/city,Greensboro,Town Hall,Greensboro,,
VT,town/city,Groton,Community Building Gym,Groton,,
VT,town/city,Guildhall,The Guild Hall,Guildhall,,
VT,town/city,Guilford,Guilford Central School,Guilford,,
VT,town/city,Halifax,Elementary School Multi-Purpose Room,Halifax,,
VT,town/city,Hancock,Town Hall,Hancock,,
VT,town/city,Hardwick,Elementary School,Hardwick,,
VT,town/city,Hartford,High School,Hartford,,
VT,town/city,Hartland,Damon Hall,Hartland,,
VT,town/city,Highgate,Highgate Elementary School,Highgate,,
VT,town/city,Hinesburg,Town Hall,Hinesburg,,
VT,town/city,Holland,Town Office,Holland,,
VT,town/city,Hubbardton,Town Hall,Hubbardton,,
VT,town/city,Huntington,Brewster-Pierce School,Huntington,,
VT,town/city,Hyde Park,Lamoille Union High School,Hyde Park,,
VT,town/city,Ira  ,Town Hall,Ira  ,,
VT,town/city,Irasburg,Town Hall,Irasburg,,
VT,town/city,Isle La Motte,Town Hall,Isle La Motte,,
VT,town/city,Jamaica,Town Office Building,Jamaica,,
VT,town/city,Jay,Volunteer Fire Station,Jay,,
VT,town/city,Jericho,Elementary School,Jericho,,
VT,town/city,Johnson,Johnson Elementary School,Johnson,,
VT,town/city,Killington,Town Office,Killington,,
VT,town/city,Kirby,Town Hall,Kirby,,
VT,town/city,Landgrove,Town Hall,Landgrove,,
VT,town/city,Leicester,Town Office,Leicester,,
VT,town/city,Lemington,Town Hall,Lemington,,
VT,town/city,Lincoln,Burnham Hall,Lincoln,,
VT,town/city,Londonderry,Town Hall,Londonderry,,
VT,town/city,Lowell,Town Clerk's Office,Lowell,,
VT,town/city,Ludlow,Town Hall,Ludlow,,
VT,town/city,Lunenburg,Gilman Middle School,Lunenburg,,
VT,town/city,Lyndon,Municipal Building Gymnasium,Lyndon,,
VT,town/city,Maidstone,Town Office,Maidstone,,
VT,town/city,Manchester,Town Hall,Manchester,,
VT,town/city,Marlboro,Town Office,Marlboro,,
VT,town/city,Marshfield,Old Schoolhouse Common,Marshfield,,
VT,town/city,Mendon,Town Office,Mendon,,
VT,town/city,Middlebury,Municipal Gymnasium,Middlebury,,
VT,town/city,Middlesex,Rumney Memorial School,Middlesex,,
VT,town/city,Middletown Springs,Fire House,Middletown Springs,,
VT,town/city,Milton - Chit-10,Municipal Building,Milton - Chit-10,,
VT,town/city,Milton - Grand Isle-Chit,Fire Station,Milton - Grand Isle-Chit,,
VT,town/city,Monkton,Fire Department,Monkton,,
VT,town/city,Montgomery,Town Hall,Montgomery,,
VT,town/city,Montpelier,City Hall,Montpelier,,
VT,town/city,Moretown,Moretown Elementary School,Moretown,,
VT,town/city,Morgan,Town Clerk's Office,Morgan,,
VT,town/city,Morristown,Municipal Office Building,Morristown,,
VT,town/city,Mount Holly,Town Office,Mount Holly,,
VT,town/city,Mount Tabor,Town Office,Mount Tabor,,
VT,town/city,New Haven,Town Hall,New Haven,,
VT,town/city,Newark,Newark Street School,Newark,,
VT,town/city,Newbury - Newbury Village,Newbury Town Offices,Newbury - Newbury Village,,
VT,town/city,Newbury - Wells River Village,Wells River Village Hall,Newbury - Wells River Village,,
VT,town/city,Newbury - All Others,Newbury Center Town House,Newbury - All Others,,
VT,town/city,Newfane,NewBrook Fire Station,Newfane,,
VT,town/city,Newport City,Muncipal Building,Newport City,,
VT,town/city,Newport Town,Town Clerk's Office,Newport Town,,
VT,town/city,North Hero,Town Office Meeting Room,North Hero,,
VT,town/city,Northfield,High School,Northfield,,
VT,town/city,Norton,Town Office,Norton,,
VT,town/city,Norwich,Tracy Hall - Gym,Norwich,,
VT,town/city,Orange,Town Hall,Orange,,
VT,town/city,Orwell,Town Hall,Orwell,,
VT,town/city,Panton,Town Hall,Panton,,
VT,town/city,Pawlet,Town Hall,Pawlet,,
VT,town/city,Peacham,Town Hall Gym,Peacham,,
VT,town/city,Peru,Town Hall,Peru,,
VT,town/city,Pittsfield,Town Hall,Pittsfield,,
VT,town/city,Pittsford,Municipal Office Conference Room,Pittsford,,
VT,town/city,Plainfield,Town Hall,Plainfield,,
VT,town/city,Plymouth,Municipal Building,Plymouth,,
VT,town/city,Pomfret,Town Office,Pomfret,,
VT,town/city,Poultney,Fire House,Poultney,,
VT,town/city,Pownal,Center Firehouse,Pownal,,
VT,town/city,Proctor,High School,Proctor,,
VT,town/city,Putney,Central School Gym,Putney,,
VT,town/city,Randolph,Town Hall,Randolph,,
VT,town/city,Reading,Robinson Hall,Reading,,
VT,town/city,Readsboro,Readsboro Central School,Readsboro,,
VT,town/city,Richford,Town Hall,Richford,,
VT,town/city,Richmond,Camels Hump Middle School,Richmond,,
VT,town/city,Ripton,Community House,Ripton,,
VT,town/city,Rochester,Town Office,Rochester,,
VT,town/city,Rockingham,Masonic Temple,Rockingham,,
VT,town/city,Roxbury,Roxbury Town Hall (Village School),Roxbury,,
VT,town/city,Royalton,S Royalton School Gym,Royalton,,
VT,town/city,Rupert,Town Office,Rupert,,
VT,town/city,Rutland City - Rutland 5-1 Ward 1,Godnick Senior Center,Rutland City - Rutland 5-1 Ward 1,,
VT,town/city,Rutland City - Rutland 5-2 Ward 2,Christ The King School,Rutland City - Rutland 5-2 Ward 2,,
VT,town/city,Rutland City - Rutland 5-3 Ward 3,American Legion,Rutland City - Rutland 5-3 Ward 3,,
VT,town/city,Rutland City - Rutland 5-4 Ward 4,Calvary Bible Church,Rutland City - Rutland 5-4 Ward 4,,
VT,town/city,Rutland Town,Town School - East,Rutland Town,,
VT,town/city,Rutland Town,Town Hall - West,Rutland Town,,
VT,town/city,Ryegate,Town Hall,Ryegate,,
VT,town/city,Saint Albans City,City Hall Auditorium,Saint Albans City,,
VT,town/city,Saint Albans Town,Collins Perley Sports Complex,Saint Albans Town,,
VT,town/city,Saint George,Town Hall,Saint George,,
VT,town/city,Saint Johnsbury,Lively Center,Saint Johnsbury,,
VT,town/city,Salisbury,Town Office,Salisbury,,
VT,town/city,Sandgate,Town Hall,Sandgate,,
VT,town/city,Searsburg,Town Office,Searsburg,,
VT,town/city,Shaftsbury,Buck Hill Road Firehouse,Shaftsbury,,
VT,town/city,Sharon,Elementary School,Sharon,,
VT,town/city,Sheffield,Municipal Building,Sheffield,,
VT,town/city,Shelburne,Town Municipal Gymnasium,Shelburne,,
VT,town/city,Sheldon,Elementary School,Sheldon,,
VT,town/city,Shoreham,Firehouse,Shoreham,,
VT,town/city,Shrewsbury,Meeting House - 88 Lottery Road,Shrewsbury,,
VT,town/city,South Burlington ,Orchard School,South Burlington ,,
VT,town/city,South Burlington,FHT Middle School,South Burlington,,
VT,town/city,South Burlington ,Chamberlin School  ,South Burlington ,,
VT,town/city,South Burlington,FHT Middle School,South Burlington,,
VT,town/city,South Hero,Town Office,South Hero,,
VT,town/city,Springfield - Windsor 3-1,Riverside Middle School,Springfield - Windsor 3-1,,
VT,town/city,Springfield - Windsor 3-2,Riverside Middle School,Springfield - Windsor 3-2,,
VT,town/city,Stamford,School Hall ,Stamford,,
VT,town/city,Stannard,Town Hall,Stannard,,
VT,town/city,Starksboro,Robinson Elementary School,Starksboro,,
VT,town/city,Stockbridge,Stockbridge Central School,Stockbridge,,
VT,town/city,Stowe,Stowe High School Gym,Stowe,,
VT,town/city,Strafford,Town House,Strafford,,
VT,town/city,Stratton,Town Office,Stratton,,
VT,town/city,Sudbury,Town Hall,Sudbury,,
VT,town/city,Sunderland,Elementary School,Sunderland,,
VT,town/city,Sutton,Sutton School Multi-Purpose Room,Sutton,,
VT,town/city,Swanton,Municipal Complex,Swanton,,
VT,town/city,Thetford,Town Hall,Thetford,,
VT,town/city,Tinmouth,Community Center,Tinmouth,,
VT,town/city,Topsham,Topsham Town Hall,Topsham,,
VT,town/city,Townshend,Town Hall,Townshend,,
VT,town/city,Troy,Elementary School,Troy,,
VT,town/city,Tunbridge,Town Hall,Tunbridge,,
VT,town/city,Underhill,Browns River Middle School,Underhill,,
VT,town/city,Vergennes,Fire Station,Vergennes,,
VT,town/city,Vernon,Town Office Building - Downstairs,Vernon,,
