state,election_date,jurisdiction_type,county_name,precinct_name,name,address
MI,2012-11-06,county,,PRECINCT 2,BOYNE VALLEY HALL,2489 RAILROAD STREET BOYNE FALLS MI 49713
MI,2012-11-06,county,,PRECINCT 19,LONG MEADOW ELEM SCH,450 ALLSTON ROCHESTER HILLS MI 48309
MI,2012-11-06,county,,PRECINCT 1,EVANSWOOD CHURCH,2601 E SQUARE LAKE TROY MI 48085
MI,2012-11-06,county,,PRECINCT 1,BRIDGMAN CITY HALL,9765 MAPLE STREET BRIDGMAN MI 49106
MI,2012-11-06,county,,PRECINCT 1,WORTH TOWNSHIP HALL,6903  S LAKESHORE RD - LEX LEXINGTON MI 48450
MI,2012-11-06,county,,PRECINCT 1,WAKESHMA TWP HALL,13988 SOUTH 42ND ST FULTON MI 49052
MI,2012-11-06,county,,PRECINCT 1,BRILEY TWP HALL,11331 WEST ST ATLANTA MI 49709
MI,2012-11-06,county,,PRECINCT 3,NAPOLEON TWP HALL,6755 BROOKLYN RD JACKSON MI 49201
MI,2012-11-06,county,,PRECINCT 1,LIBRARY BASEMENT,207 N MATTESON STREET BRONSON MI 49028
MI,2012-11-06,county,,PRECINCT 7,HUNTER SCHOOL,21320 ROCHE ROAD TRENTON MI 48183
MI,2012-11-06,county,,PRECINCT 1,MENTOR TOWNHALL,8240 SOUTH STRAITS HIGHWAY INDIAN RIVER MI 49749
MI,2012-11-06,county,,PRECINCT 9,COMMUNITY CENTER,21311 TELEGRAPH ROAD TRENTON MI 48183
MI,2012-11-06,county,,PRECINCT 20,FOUNTAIN ELEMENTARY,16850 WELLINGTON ROSEVILLE MI 48066
MI,2012-11-06,county,,PRECINCT 5,LACURE ELEM SCHOOL,12167 N LEWIS RD CLIO MI 48420
MI,2012-11-06,county,,PRECINCT 2,ROMEO COMM. CENTER,361 MORTON STREET ROMEO MI 48065
MI,2012-11-06,county,,PRECINCT 27,ST MARYS OF HILLS,2675 JOHN R RD ROCHESTER HILLS MI 48307
MI,2012-11-06,county,,PRECINCT 1,SPENCER TWP HALL,14960 MEDDLER GOWEN MI 49326
MI,2012-11-06,county,,PRECINCT 2,REDBUD CITY CENTER,131 S OAK ST BUCHANAN MI 49107
