state,election_date,jurisdiction_type,county_name,municipality,precinct_id,precinct_name,name,address
IA,2014-11-04,county,Black Hawk,WATERLOO,W506,Precinct W506,W506 CENTRAL CHRISTIAN CHURCH,"3475 KIMBALL AVE, WATERLOO, IA 50702"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X101,Precinct X101,X101 LIVING WATER CHURCH OF THE NAZARENE,"1210 W LONE TREE RD (REAR ENTR), CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X102,Precinct X102,X102 ST JOHN LUTHERAN CHURCH,"715 COLLEGE ST, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X103,Precinct X103,X103 CEDAR FALLS CITY HALL,"220 CLAY ST (COUNCIL CHAMBERS), CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X201,Precinct X201,X201 UNITED CHURCH OF CHRIST,"9204 UNIVERSITY AVE, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X202,Precinct X202 & CF Twp,X202 BETHLEHEM LUTHERAN CHURCH,"4000 HUDSON RD, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X203,Precinct X203,X203 HEARTLAND VINEYARD CHURCH,"1405 GREENHILL RD, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X301,Precinct X301,X301 CEDAR FALLS SCHOOL ADMIN. BLDG.,"1002 W 1ST ST (BOARD RM), CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X302,Precinct X302,X302 CHURCH OF CHRIST,"2727 W 4TH ST, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X303,Precinct X303,X303 UNIVERSITY BOOK & SUPPLY,"1009 W 23RD ST (LOWER LEVEL ENTR), CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X401,Precinct X401,X401 CEDAR HGTS. COMM. PRESBYTERIAN CHURCH,"2015 RAINBOW DR, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X402,Precinct X402,X402 HEARST CENTER,"304 SEERLEY BD, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X403,Precinct X403,"X403 GILCHRIST HALL, UNI","UNIVERSITY AVE TO SOUTH CAMPUS ST
, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X501,Precinct X501,X501 ST TIMOTHY UNITED METHODIST CHURCH,"3220 TERRACE DR, CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X502,Precinct X502,X502 ORCHARD HILL CHURCH,"3900 ORCHARD HILL DR (SOUTH ENTR, DOOR E), CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Black Hawk,CEDAR FALLS,X503,Precinct X503,X503 TRINITY BIBLE CHURCH,"125 ORCHARD DR , CEDAR FALLS, IA 50613"
IA,2014-11-04,county,Boone,BOONE,BN1,Boone 1,FAIRGROUNDS COMM BLDG - BN1,"1601 INDUSTRIAL PARK RD, BOONE, IA 50036"
IA,2014-11-04,county,Boone,BOONE,BN2,Boone 2,DMACC,"1125 HANCOCK DR, BOONE, IA 50036"
IA,2014-11-04,county,Boone,BOONE,BN3,Boone 3,FIRST EVANGELICAL FREE CHURCH,"1407 KATE SHELLEY DR, BOONE, IA 50036"
IA,2014-11-04,county,Boone,BOONE,BN4,Boone 4/DMS Twp,ERICSON PUBLIC LIBRARY,"702 GREENE ST, BOONE, IA 50036"
IA,2014-11-04,county,Boone,BOONE,BN5,Boone 5,COURTHOUSE,"201 STATE ST, BOONE, IA 50036"
IA,2014-11-04,county,Boone,MADRID,MD1,Madrid 1,MADRID COMM ROOM - MD1,"303 S WATER ST, MADRID, IA 50156"
IA,2014-11-04,county,Boone,MADRID,MD2,Madrid 2,MADRID COMM ROOM - MD2,"303 S WATER ST, MADRID, IA 50156"
IA,2014-11-04,county,Boone,MADRID,MD3,Madrid 3,MADRID COMM ROOM - MD3,"303 S WATER ST, MADRID, IA 50156"
IA,2014-11-04,county,Boone,OGDEN,OG,Ogden,LEONARD GOOD COMM CENTER,"114 SW 8TH ST, OGDEN, IA 50212"
IA,2014-11-04,county,Boone,MADRID,RP1,Rural Precinct 1,MADRID PUBLIC LIBRARY,"100 W 3RD ST, MADRID, IA 50156"
IA,2014-11-04,county,Boone,LUTHER,RP2,Rural Precinct 2,LUTHER COMM ROOM,"7 LUTHER ST, LUTHER, IA 50152"
IA,2014-11-04,county,Boone,PERRY,RP3,Rural Precinct 3,COUNTY SHED - BERKLEY,"262 284TH ST, PERRY, IA 50220"
IA,2014-11-04,county,Boone,OGDEN,RP4,Rural Precinct 4,GOOD PUBLIC LIBRARY,"208 W MULBERRY ST, OGDEN, IA 50212"
IA,2014-11-04,county,Boone,PILOT MOUND,RP5,Rural Precinct 5,PILOT MOUND COMM ROOM,"508 PILOT ST, PILOT MOUND, IA 50223"
IA,2014-11-04,county,Boone,BOONE,RP6,Rural Precinct 6,FAIRGROUNDS COMM BLDG - RP6,"1601 INDUSTRIAL PARK RD, BOONE, IA 50036"
IA,2014-11-04,county,Bremer,DENVER,DV,"City Of Denver, Jefferson Twp",DENVER COMMUNITY ROOM,"100 WASHINGTON ST, DENVER, IA 50622"
IA,2014-11-04,county,Bremer,FREDERIKA,FD,"City Of Frederika, Frederika Twp, Leroy Twp",FREDERIKA COMMUNITY BUILDING,"111 3RD ST, FREDERIKA, IA 50631"
IA,2014-11-04,county,Bremer,JANESVILLE,JV,"City Of Janesville, Jackson Twp",JANESVILLE CITY HALL,"227 MAIN ST, JANESVILLE, IA 50647"
IA,2014-11-04,county,Bremer,WAVERLY,LA,"Lafayette Twp, Warren Twp",BREMER COUNTY SECONDARY ROAD BUILDING,"1995 EUCLID AVE, WAVERLY, IA 50677"
IA,2014-11-04,county,Bremer,PLAINFIELD,PL,"City of Plainfield, Polk Twp, Douglas Twp",PLAINFIELD PUBLIC LIBRARY,"723 MAIN ST, PLAINFIELD, IA 50666"
