state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
IA,2012-11-06,county,Black Hawk,W304,Precinct W304,W304 NEW HOPE MISSIONARY BAPTIST CHURCH,"710 BROADWAY ST, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,W406,Precinct W406,W406 PINECREST ROOM 220,"1407 INDEPENDENCE AVE, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,X402,Precinct X402,X402 HEARST CENTER,"304 SEERLEY BD, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,W201,Precinct W201,W201 FRIENDSHIP VILLAGE,"600 PARK LN, WATERLOO IA 50702"
IA,2012-11-06,county,Black Hawk,X303,Precinct X303,X303 UNIVERSITY BOOK & SUPPLY,"1009 W 23RD ST, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,W404,Precinct W404,W404 LINDEN METHODIST CHURCH,"301 BUTLER AV, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,PK02,Poyner P2/Gilbertville/Fox/Jesup,PK02 GILBERTVILLE FIRE STATION,"1406 4TH STREET, GILBERTVILLE IA 50634"
IA,2012-11-06,county,Black Hawk,DK00,Elk Run Heights/Raymond,DK00 ELK RUN HEIGHTS CITY HALL,"5042 LAFAYETTE RD, ELK RUN HEIGHTS IA 50707"
IA,2012-11-06,county,Black Hawk,W301,Precinct W301,W301 RIVER'S EDGE CHRISTIAN CHURCH,"1247 CEDAR BEND ST, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,W503,Precinct W503,W503 SONS OF JACOB SYNAGOGUE,"411 E MITCHELL AV, WATERLOO IA 50702"
IA,2012-11-06,county,Black Hawk,W506,Precinct W506,W506 HOOVER MIDDLE SCHOOL,"630 HILLCREST RD, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,W105,Precinct W105,W105 PARKVIEW NURSING & REHAB.,"310 UPLAND DR, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,ALOO,Barclay/Lester/Dunkerton,ALOO  DUNKERTON CITY HALL,"200 E TOWER ST, DUNKERTON IA 50626"
IA,2012-11-06,county,Black Hawk,W302,Precinct W302,"W302 BARRETT FORUM, (ALLEN COLLEGE)","1990 HEATH ST, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,X101,Precinct X101,X101 LIVING WATER CHURCH OF THE NAZARENE,"1210 W LONE TREE RD, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,W401,Precinct W401,W401 GOOD SHEPHERD LUTHERAN CHURCH,"517 E DONALD ST, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,EO00,Cedar/Orange,EO00  ST PAUL PRESBYTERIAN CHURCH,"410 FIRST ST, WASHBURN IA 50706"
IA,2012-11-06,county,Black Hawk,W103,Precinct W103,W103 FIRST BAPTIST CHURCH,"1200 W 4TH ST, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,W502,Precinct W502,W502 ST ANSGAR LUTHERAN CHURCH,"1122 W 11TH ST, WATERLOO IA 50702"
IA,2012-11-06,county,Black Hawk,W405,Precinct W405,W405 PAYNE MEMORIAL AME CHURCH,"1044 MOBILE ST, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,W203,Precinct W203,W203 HAMMOND AVE BRETHREN CHURCH,"1604 HAMMOND AV, WATERLOO IA 50702"
IA,2012-11-06,county,Black Hawk,W206,Precinct W206,W206 TRINITY EPISCOPAL PARISH,"4535 KIMBALL AV, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,W102,Precinct W102,W102 ST ANDREWS PRESBYTERIAN CHURCH,"1926 SAGER AV, WATERLOO IA 50701"
