Jasper,6661,Philadelphia,5-31,PHILADELPHIA,"114 W PARK ST, HEIDELBERG MS 39439",462
Jones,8641,NORTH LAUREL,1,NORTH LAUREL,"3217 AUDUBON DRIVE, LAUREL MS 39440",2853
Jones,8643,SHADY GROVE,2,SHADY GROVE,"HIGHWAY 15 NORTH, LAUREL MS 39443",3094
Jones,8644,SHARON,3,SHARON,"924 SHARON-MOSS ROAD, LAUREL MS 39443",1457
Jones,8645,BIG CREEK,4,BIG CREEK,"6518 HIGHWAY 84 WEST, SOSO MS 39480",486
Jones,8646,CALHOUN,5,CALHOUN,"5195 HIGHWAY 84 WEST, LAUREL MS 39443",1871
Jones,8647,CENTERVILLE,6,CENTERVILLE,"DUSTY ROAD, SOSO MS 39480",219
Jones,8648,PARKVIEW BAPTIST CHURCH,7,PARKVIEW BAPTIST CHURCH,"930 NORTH 10TH AVENUE, LAUREL MS 39440",1208
Jones,8649,GITANO,8,GITANO,"SPILLWAY ROAD, TAYLORSVILLE MS 39168",323
Jones,8650,HEBRON,9,HEBRON,"HIGHWAY 84 WEST, TAYLORSVILLE MS 39168",766
Jones,8651,MATTHEWS,10,MATTHEWS,"MATTHEWS ROAD, LAUREL MS 39443",558
Jones,8652,PLEASANT RIDGE,11,PLEASANT RIDGE,"HOLLY ROAD, LAUREL MS 39443",740
Jones,8654,SOSO,12,SOSO,"HIGHWAY 28 WEST, SOSO MS 39480",1153
Jones,8655,SPRINGHILL/ MAULDIN,13,SPRINGHILL /MAULDIN COMMUNITY CENTER,"SPRINGHILL ROAD, LAUREL MS 39443",1471
Jones,8657,ERATA,14,ERATA,"ERATA ROAD, LAUREL MS 39443",595
Jones,8658,GLADE,15,GLADE,"DOGLEG ROAD, LAUREL MS 39443",1212
Jones,8659,MYRICK,16,MYRICK COMMUNITY CENTER,"LOWER MYRICK ROAD, LAUREL MS 39443",1393
Jones,8660,POWERS,17,POWERS COMMUNITY CENTER,"HOWSE ROAD, LAUREL MS 39443",1331
Jones,8661,OVETT,18,OVETT,"UPPER OVETT ROAD, OVETT MS 39464",957
Jones,8662,RUSTIN,19,RUSTIN,"POOLE CREEK ROAD, LAUREL MS 39443",705
Jones,8663,SANDERSVILLE,20,SANDERSVILLE COMMUNITY CENTER,"HAWKE'S ROAD, SANDERSVILLE MS 39477",1000
Jones,8664,TUCKERS,21,TUCKERS,"ORANGE DRIVE, LAUREL MS 39443",1065
Jones,8665,ANTIOCH,22,ANTIOCH,"ANTIOCH ROAD, LAUREL MS 39443",531
