state,jurisdiction_type,county_name,precinct_name,name,address
KY,county,,FLATWOODS #1,FLATWOODS NAZARENE CHURCH,2310 BELLEFONTE RD FLATWOODS KY 41139
KY,county,,GOOSE ROCK,GOOSE ROCK ELEMENTARY SCHOOL,364 HWY 1524 MANCHESTER KY 40962
KY,county,,BRIGHT SHADE,GOOSE ROCK ELEMENTARY SCHOOL,364 HWY 1524 MANCHESTER KY 40962
KY,county,,WURTLAND #1,WURTLAND FIRE STATION,1220 WURTLAND AVE WURTLAND KY 41144
KY,county,,WURTLAND #2,WURTLAND FIRE STATION,1220 WURTLAND AVE WURTLAND KY 41144
KY,county,,DEKOVEN,DEKOVEN COMMUNITY BLDG,11155 ST RT 667 S STURGIS KY 42459
KY,county,,ARMORY,NATIONAL GUARD ARMORY,1079 HWY 555 SPRINGFIELD KY 40069
KY,county,,EAST FORK,DANELYTON FIRE DEPT,128 LAMBERT RD WURTLAND KY 41144
KY,county,,PRECINCT 164 42 DISTRICT,BARRET TRADITIONAL MIDDLE SCHOOL GYM,2561 GRINSTEAD DR LOUISVILLE KY 40206
KY,county,,PRECINCT 174 42 DISTRICT,BARRET TRADITIONAL MIDDLE SCHOOL GYM,2561 GRINSTEAD DR LOUISVILLE KY 40206
KY,county,,PRECINCT 140 34 DISTRICT,BARRET TRADITIONAL MIDDLE SCHOOL GYM,2561 GRINSTEAD DR LOUISVILLE KY 40206
KY,county,,PRECINCT 143 42 DISTRICT,BARRET TRADITIONAL MIDDLE SCHOOL GYM,2561 GRINSTEAD DR LOUISVILLE KY 40206
KY,county,,PRECINCT 150 42 DISTRICT,BARRET TRADITIONAL MIDDLE SCHOOL GYM,2561 GRINSTEAD DR LOUISVILLE KY 40206
KY,county,,PIKEVIEW,EBENEZER PRESY CHURCH,4172 BLOWING SPRINGS RD GREENSBURG KY 42743
KY,county,,DONANSBURG,GRAB FIRE DEPARTMENT,401 GRAB ROAD GREENSBURG KY 42743
KY,county,,MT SHERMAN,MT MORIAH CHRISTIAN LIFE CENTER,46 BIRD RD MT SHERMAN KY 42764
KY,county,,WEST CALVERT,CALVERT CITY LIBRARY,1315 5TH AVE SE CALVERT CITY KY 42029
KY,county,,FLATWOODS #2,BAPTIST YOUTH MINISTRY CENTER,1206 BLUEGRASS ST FLATWOODS KY 41139
KY,county,,FLATWOODS #5,BAPTIST YOUTH MINISTRY CENTER,1206 BLUEGRASS ST FLATWOODS KY 41139
KY,county,,HENDRON # 1,DESTINY CHURCH,990 BERGER RD PADUCAH KY 42003
KY,county,,NORTH SMITHLAND,SMITHLAND 1ST BAP. CH. ACT. BLDG,230 COURT STREET SMITHLAND KY 42081
KY,county,,SOUTH SMITHLAND,SMITHLAND 1ST BAP. CH. ACT. BLDG,230 COURT STREET SMITHLAND KY 42081
KY,county,,COLLEGE HILL,WACO ELEMENTARY,359 WACO LOOP RD WACO KY 40385
KY,county,,WACO,WACO ELEMENTARY,359 WACO LOOP RD WACO KY 40385
KY,county,,MOBERLY,WACO ELEMENTARY,359 WACO LOOP RD WACO KY 40385
KY,county,,SALOMA/WILLOWTOWN,GOOD HOPE BAPTIST CHURCH,8320 SALOMA RD CAMPBELLSVILLE KY 42718
KY,county,,RED BUSH,RED BUSH VOLUNTERR FIRE DEPT,11656 RT 172 RED BUSH KY 41219
