state,election_date,jurisdiction_type,county_name,precinct_name,name,address,polling_location_type
PA,2012-11-06,county,,HATFIELD 4-1,PENNFIELD MIDDLE SCHOOL,726 FORTY FOOT RD HATFIELD PA 19440,polling_location
PA,2012-11-06,county,,MUHLENBERG TWP - 3RD PRECINCT,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,3344 READING CREST AVE READING PA 19605,polling_location
PA,2012-11-06,county,,PENN TWP 3RD WARD 3RD PCT,"NEW LIFE PRESBYTERIAN CHURCH, 326 RAYMALEY RD.",326 RAYMALEY RD HARRISON CITY PA 15636,polling_location
PA,2012-11-06,county,,SPRINGFIELD TOWNSHIP 5TH WARD 3RD PREC,FRIENDS MEETINGHOUSE,1001 OLD SPROUL RD SPRINGFIELD PA 19064,polling_location
PA,2012-11-06,county,,UP ST CLAIR 04 01,BAKER ELEMENTARY SCHOOL GYM,2300 MORTON RD UP ST CLAIR PA,polling_location
PA,2012-11-06,county,,CHELTENHAM 2-2,TOWERS AT WYNCOTE,8480 LIMEKILN PIKE WYNCOTE PA 19095,polling_location
PA,2012-11-06,county,,HORSHAM 3-2,YUONG SANG PRESBYTERIAN CHURCH,706 WITMER RD HORSHAM PA 19044,polling_location
PA,2012-11-06,county,,ABINGTON 15-1,ROSLYN ELEMENTARY SCHOOL,2565 SUSQUEHANNA RD ROSLYN PA 19001,polling_location
PA,2012-11-06,county,,CHELTENHAM 5-4,ST JOSEPHS ROMAN CATHOLIC CHURCH,7631 WATERS RD CHELTENHAM PA 19012,polling_location
PA,2012-11-06,county,,CHESTER CITY 7TH WARD 4TH PRECINCT,MANO'S GULF STATION,916 KERLIN ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,BLAIRSVILLE 1,BLAIRSVILLE 1/UNITED PRESBYTERIAN CHURCH,137 N WALNUT ST BLAIRSVILLE PA 15717,polling_location
PA,2012-11-06,county,,EAST NORRITON 2-1,NORRITON FIRE ENGINE COMPANY,2830 SWEDE RD NORRISTOWN PA 19401,polling_location
PA,2012-11-06,county,,ONEIDA TOWNSHIP,HRFR - ONEIDA STATION,9784 STANDING STONE RD HUNTINGDON PA 16652,polling_location
