state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
PA,2018-11-06,county,ALLEGHENY,1680801,MCKEESPORT 08 01,HIGHLAND GROVE METH CH BASEMENT,"2909 HIGHLAND AVE, MCKEESPORT, PA 15134"
PA,2018-11-06,county,ALLEGHENY,1680802,MCKEESPORT 08 02,MCKEESPORT HIGH SCHOOL TIGER INN,"1960 EDEN PARK BLVD, MC KEESPORT, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1680803,MCKEESPORT 08 03,ST PIUS SOCIAL HALL,"2911 VERSAILLES AVE, MC KEESPORT, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1680804,MCKEESPORT 08 04,CHURCH OF CHRIST,"947 FRANKLIN ST, PITTSBURGH, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1680805,MCKEESPORT 08 05,STEEL VIEW MANOR 1ST FL,"501 PIRL ST, MCKEESPORT, PA"
PA,2018-11-06,county,ALLEGHENY,1680806,MCKEESPORT 08 06,CHURCH OF CHRIST,"947 FRANKLIN ST, PITTSBURGH, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1680901,MCKEESPORT 09 01,BEULAH PARK UNITED METH CHURCH,"1615 GRANDVIEW AVE, MCKEESPORT, PA"
PA,2018-11-06,county,ALLEGHENY,1680902,MCKEESPORT 09 02,GRANDVIEW APTS MAINT RM,"2130 GRANDVIEW AVE, MCKEESPORT, PA"
PA,2018-11-06,county,ALLEGHENY,1680903,MCKEESPORT 09 03,BEULAH PRK UN METH CHURCH FIRE PLACE RM,"1615 GRANDVIEW AVE, MCKEESPORT, PA"
PA,2018-11-06,county,ALLEGHENY,1681001,MCKEESPORT 10 01,WESTSIDE UNITED METHODIST CHURCH,"307 ATLANTIC AVE, MCKEESPORT, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1681002,MCKEESPORT 10 02,WESTSIDE UNITED METHODIST CHURCH,"307 ATLANTIC AVE, MCKEESPORT, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1681101,MCKEESPORT 11 01,CHRISTY PARK UNITED METHODIST CHURCH,"436 29TH ST, MC KEESPORT, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1681102,MCKEESPORT 11 02,ST PATRICK CHURCH BASEMENT HALL,"310 32ND ST, MCKEESPORT, PA 15132"
PA,2018-11-06,county,ALLEGHENY,1681103,MCKEESPORT 11 03,THE FATHERS HEART MINISTRY,"1911 SOLES ST, MCKEESPORT, PA 15132"
