precinct_id,electoral_district_id
77550157,992
77550158,992
77550159,992
77550160,992
77550161,992
77550162,992
77550163,992
77550164,992
77550165,992
77550166,992
77550167,992
77550168,992
77550169,992
77550170,992
77550171,992
77550172,992
77550173,992
77550174,992
77550175,992
77550176,992
77550177,992
77550178,992
77550179,992
77550180,992
77550181,992
77550182,992
77550183,992
77550184,992
77550185,992
77550186,992
77550187,992
77550188,992
77550189,992
77550190,992
77550191,992
77550192,992
77550193,992
77550194,992
77550195,992
77550196,992
77550197,992
77550198,992
77550199,992
77550200,992
77550201,992
77550202,992
77550203,992
77550204,992
77550205,992
77550206,992
77550207,992
77550208,992
77550209,992
77550210,992
77550211,992
77550212,992
77550213,992
77550214,992
77550215,992
77550216,992
77550217,992
77550218,992
77550219,992
77550220,992
77550221,992
77550222,992
77550223,992
77550224,992
77550225,992
77550226,992
77550227,992
77550228,992
77550229,992
77550230,992
77550231,992
77550232,992
77550233,992
77550234,992
77550235,992
77550236,992
77550237,992
77550238,992
77550239,992
77550240,992
77550241,992
77550242,992
77550243,992
77550244,992
77550245,992
77550246,992
77550247,992
77550248,992
77550249,992
77550250,992
77550251,992
77550252,992
77550253,992
77550254,992
77550255,992
77550256,992
77550257,992
77550001,993
77550002,993
77550003,993
77550004,993
77550005,993
77550006,993
77550007,993
77550008,993
77550009,993
77550010,993
77550011,993
77550012,993
77550013,993
77550014,993
77550015,993
77550016,993
77550017,993
77550018,993
77550019,993
77550020,993
77550021,993
77550024,993
77550025,993
77550028,993
77550029,993
77550030,993
77550031,993
77550032,993
77550033,993
77550034,993
77550035,993
77550036,993
77550037,993
77550038,993
77550039,993
77550040,993
77550041,993
77550042,993
77550043,993
77550044,993
77550045,993
77550046,993
77550047,993
77550048,993
77550049,993
77550050,993
77550051,993
77550052,993
77550053,993
77550054,993
77550055,993
77550056,993
77550057,993
77550058,993
77550059,993
77550060,993
77550061,993
77550062,993
77550063,993
77550064,993
77550065,993
77550066,993
77550067,993
77550068,993
77550069,993
77550070,993
77550071,993
77550072,993
77550073,993
77550074,993
77550075,993
77550076,993
77550077,993
77550078,993
77550079,993
77550089,993
77550090,993
77550099,993
77550100,993
77550101,993
77550102,993
77550103,993
77550104,993
77550105,993
77550106,993
77550107,993
77550108,993
77550109,993
77550110,993
77550111,993
77550112,993
77550113,993
77550114,993
77550115,993
77550116,993
77550117,993
77550118,993
77550119,993
77550120,993
77550121,993
77550122,993
77550123,993
77550124,993
77550125,993
77550126,993
77550127,993
77550128,993
77550129,993
77550130,993
77550131,993
77550132,993
77550133,993
77550134,993
77550135,993
77550136,993
77550137,993
77550138,993
77550139,993
77550140,993
77550141,993
77550142,993
77550143,993
77550144,993
77550145,993
77550146,993
77550147,993
77550148,993
77550149,993
77550150,993
77550151,993
77550152,993
77550153,993
77550154,993
77550155,993
77550156,993
77550157,993
77550158,993
77550159,993
77550160,993
77550161,993
77550162,993
77550163,993
77550164,993
77550165,993
77550166,993
77550167,993
77550168,993
77550169,993
77550170,993
77550171,993
77550172,993
77550173,993
77550174,993
77550175,993
77550176,993
77550177,993
77550178,993
77550179,993
77550180,993
77550181,993
77550182,993
77550183,993
77550184,993
77550185,993
77550186,993
77550187,993
77550188,993
77550189,993
77550190,993
77550191,993
77550192,993
77550193,993
77550194,993
77550195,993
77550196,993
77550197,993
77550198,993
77550199,993
77550200,993
77550201,993
77550202,993
77550203,993
77550204,993
77550205,993
77550206,993
77550207,993
77550208,993
77550209,993
77550210,993
77550211,993
77550212,993
77550213,993
77550214,993
77550215,993
77550216,993
77550217,993
77550218,993
77550219,993
77550220,993
77550221,993
77550222,993
77550223,993
77550224,993
77550225,993
77550226,993
77550227,993
77550228,993
77550229,993
77550230,993
77550231,993
77550232,993
77550233,993
77550234,993
77550235,993
77550236,993
77550237,993
77550238,993
77550239,993
77550240,993
77550241,993
77550242,993
77550243,993
77550244,993
77550245,993
77550246,993
77550247,993
77550248,993
77550249,993
77550250,993
77550253,993
77550254,993
77550256,993
77550257,993
77630001,993
77630002,993
77630003,993
77630006,993
77630007,993
77630009,993
77630011,993
77630012,993
77630013,993
77630015,993
77630018,993
77630021,993
77630022,993
77630024,993
77630025,993
77630026,993
77630027,993
77630029,993
77630030,993
77630031,993
77630033,993
77630037,993
77630038,993
77630040,993
77630041,993
77630042,993
77670010,993
77670012,993
77670014,993
77670015,993
77670020,993
77670022,993
77670023,993
77670024,993
77670025,993
77670030,993
77670032,993
77670033,993
77670034,993
77670035,993
77040011,994
77040013,994
77040023,994
77040025,994
77040026,994
77040031,994
77040033,994
77130002,994
77130003,994
77130004,994
77130005,994
77130006,994
77130007,994
77300201,994
77300203,994
77300301,994
77300302,994
77300303,994
77300402,994
77700101,994
77700102,994
77700104,994
77700107,994
77700201,994
77700202,994
77700205,994
77700302,994
77700303,994
77700304,994
77700305,994
77420101,995
77420102,995
77420103,995
77420104,995
77420105,995
77420106,995
77420201,995
77420203,995
77420204,995
77420205,995
77420206,995
77420207,995
77420301,995
77420302,995
77420303,995
77420304,995
77420305,995
77420306,995
77420307,995
77420308,995
77420309,995
77420310,995
77600001,995
77600002,995
77600003,995
77600004,995
77600005,995
77600006,995
77600007,995
77600008,995
77600009,995
77600010,995
77600011,995
77600012,995
77600013,995
77600014,995
77600015,995
77600016,995
77600101,995
77600102,995
77600103,995
77600104,995
77600201,995
77600301,995
77600401,995
77600402,995
77600403,995
77600404,995
77600405,995
77600406,995
77600407,995
77600408,995
77600409,995
77320010,996
77320011,996
77320012,996
77320016,996
77320018,996
77320019,996
77320020,996
77320021,996
77320022,996
77320023,996
77320030,996
77320031,996
77320032,996
77320033,996
77320034,996
77320035,996
77620013,996
77620016,996
77620022,996
77620025,996
77620031,996
77620051,996
77620052,996
77620053,996
77620054,996
77620055,996
77620056,996
77620058,996
77620059,996
77620060,996
77620061,996
77620062,996
77620063,996
77620064,996
77620065,996
77620066,996
77620067,996
77670010,996
77670012,996
77670014,996
77670015,996
77670020,996
77670022,996
77670023,996
77670024,996
77670025,996
77670030,996
77670032,996
77670033,996
