address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,polling_hours,photo_url,id
"SOUTHWEST MANSIONS","9900 S WESTERN","",,"OKLAHOMA CITY",OK,73139,,7:00 AM - 7:00 PM,,8811510
"ENTERPRISE BAPTIST CHURCH","2425 SE 84TH","",,"NORMAN",OK,73026,,7:00 AM - 7:00 PM,,8811514
"MEMORIAL PRESBYTERIAN CHURCH","601 24TH AVE SW.","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8811524
"ST. JOHN'S LUTHERAN CHURCH","1032 NW 12TH ST.","",,"MOORE",OK,73160,,7:00 AM - 7:00 PM,,8811525
"LAKESIDE CHURCH OF GOD","4400 E ALAMEDA","",,"NORMAN",OK,73026,,7:00 AM - 7:00 PM,,8813485
"VALLEY INSURANCE BUILDING","17 N MAIN STREET","",,"COALGATE",OK,74538,,7:00 AM - 7:00 PM,,8811551
"WESTERN HILLS CHURCH OF CHRIST","1108 NW 53RD ","",,"LAWTON",OK,73505,,7:00 AM - 7:00 PM,,8836351
"BETHLEHEM BAPTIST CHURCH","602 NW ARLINGTON AVE","",,"LAWTON",OK,73507,,7:00 AM - 7:00 PM,,8824685
"IMMANUEL BAPTIST CHURCH","1314 SW 11 ST","",,"LAWTON",OK,73501,,7:00 AM - 7:00 PM,,8811568
"WESLEY CHAPEL CHURCH","12604 SW WOODLAWN RD","",,"LAWTON",OK,73505,,7:00 AM - 7:00 PM,,8811207
"CALVARY BAPTIST CHURCH","601 E. INDIANA ST.","",,"WALTERS",OK,73572,,7:00 AM - 7:00 PM,,8811302
"COMMUNITY OF CHRIST ","HOPE AVE","",,"VINITA",OK,74301,,7:00 AM - 7:00 PM,,8811319
"EPISCOPAL CHURCH","1420 E. DEWEY","",,"SAPULPA",OK,74066,,7:00 AM - 7:00 PM,,8811208
"NAZARENE CHURCH","302 S. ELM","",,"SAPULPA",OK,74066,,7:00 AM - 7:00 PM,,8811325
"ST. JOSEPHS CATHOLIC CHURCH","308 N. ELM, BRISTOW","",,"BRISTOW",OK,74010,,7:00 AM - 7:00 PM,,8811328
"CANYON ROAD BAPTIST CHURCH","8550 S 49TH WEST AVE","",,"TULSA",OK,74131,,7:00 AM - 7:00 PM,,8811343
"THOMAS SENIOR CITIZENS' CENTER","101 1/2 NORTH MISSOURI","",,"THOMAS",OK,73669,,7:00 AM - 7:00 PM,,8811354
"TOPSY ASSEMBLY OF GOD CHURCH","40867 S 510 RD","",,"EUCHA",OK,74342,,7:00 AM - 7:00 PM,,8811368
"PUTNAM SENIOR CITIZENS CENTER","HI-WAY 183","PUTNAM, OK.",,"PUTNAM",OK,73659,,7:00 AM - 7:00 PM,,8811378
"GAGE LIBRARY","510 N MAIN ST","",,"GAGE",OK,73843,,7:00 AM - 7:00 PM,,8811388
"GANTZ CENTER ROOM #100","100 S UNIVERSITY AVE","",,"ENID",OK,73701,,7:00 AM - 7:00 PM,,8811392
"CHISHOLM TRAIL EXPO CENTER","111 W PURDUE","",,"ENID",OK,73701,,7:00 AM - 7:00 PM,,8811401
"KREMLIN COMM UNITED METHODIST ","403 S 5TH","",,"KREMLIN",OK,73753,,7:00 AM - 7:00 PM,,8823873
"ELMORE CITY COMMUNITY CENTER","104 SOUTH MAIN","",,"ELMORE CITY",OK,73433,,7:00 AM - 7:00 PM,,8810214
"HENNEPIN COMMUNITY BUILDING","33789 N CR 3173","",,"HENNEPIN",OK,73444,,7:00 AM - 7:00 PM,,8810217
"MIDDLEBERG SCHOOL","2130 CR 1317","",,"BLANCHARD",OK,73010,,7:00 AM - 7:00 PM,,8810238
"NINNEKAH TOWN HALL","301 N OLD HWY 81","",,"NINNEKAH",OK,73067,,7:00 AM - 7:00 PM,,8810240
"CROSSROAD TO LIFE BAPTIST CH","1496 CS 2980","",,"BLANCHARD",OK,73010,,7:00 AM - 7:00 PM,,8810244
"NASH FIRE STATION CLASSROOM","115 N. MAIN","",,"NASH",OK,73761,,7:00 AM - 7:00 PM,,8810249
"LAMONT TOWN HALL","1323 N. MAIN","",,"LAMONT",OK,74643,,7:00 AM - 7:00 PM,,8811232
"CIVIC CENTER","208 WEST JONES","",,"HOLLIS",OK,73550,,7:00 AM - 7:00 PM,,8810269
"CIVIC CENTER","208 WEST JONES","",,"HOLLIS",OK,73550,,7:00 AM - 7:00 PM,,8810270
"GOULD COMMUNITY BUILDING","104 S. KENNEDY","",,"GOULD",OK,73544,,7:00 AM - 7:00 PM,,8810271
"JEFFERSON COUNTY FAIR BARN","802 EAST D STREET","",,"WAURIKA",OK,73573,,7:00 AM - 7:00 PM,,8810323
"FIRST BAPTIST CHURCH","1ST & BRIDGE","",,"BLACKWELL",OK,74631,,7:00 AM - 7:00 PM,,8810343
"CHRIST'S CHURCH","1001 S. BOAZ","",,"NEWKIRK",OK,74647,,7:00 AM - 7:00 PM,,8810346
"BRAMAN TOWN HALL","302 BROADWAY","",,"BRAMAN",OK,74632,,7:00 AM - 7:00 PM,,8810349
"RANCH DRIVE VOL. FIRE DEPT.","3454 S. RANCH DRIVE","",,"PONCA CITY",OK,74601,,7:00 AM - 7:00 PM,,8810355
"VICTORY WORSHIP CENTER","618 EAST HARTFORD AVE","",,"PONCA CITY",OK,74601,,7:00 AM - 7:00 PM,,8810356
"HENNESSEY PUBLIC SCHOOL","604 E OKLAHOMA","",,"HENNESSEY",OK,73742,,7:00 AM - 7:00 PM,,8810366
"OKARCHE HIGH SCHOOL","632 W. OKLAHOMA.","",,"OKARCHE",OK,73762,,7:00 AM - 7:00 PM,,8810557
"HOBART SCHOOL ADM. BLDG.","321 N. JEFFERSON","",,"HOBART",OK,73651,,7:00 AM - 7:00 PM,,8811753
"ROOSEVELT SENIOR CITIZEN","401 SOUTH MAIN","",,"ROOSEVELT",OK,73564,,7:00 AM - 7:00 PM,,8810378
"ROOSEVELT SENIOR CITIZEN","401 SOUTH MAIN","",,"ROOSEVELT",OK,73564,,7:00 AM - 7:00 PM,,8810379
"10MT. PARK SENIOR CITIZEN BLDG","518 HWY 183","",,"MT. PARK",OK,73559,,7:00 AM - 7:00 PM,,8810380
"KIAMICHI ELECTRIC CO-OP","744 SW HWY 2","",,"WILBURTON",OK,74578,,7:00 AM - 7:00 PM,,8810383
"PANOLA SCHOOL","5558 NE 104 RD","",,"WILBURTON",OK,74578,,7:00 AM - 7:00 PM,,8810389
"TUCKER COMMUNITY BLDG.","15335 RHINO RD","",,"TUCKER",OK,74941,,7:00 AM - 7:00 PM,,8810392
"PANAMA SR. CITIZENS BLDG.","309 MAIN ST","",,"PANAMA",OK,74951,,7:00 AM - 7:00 PM,,8810401
"BOB LEE KIDD III CIVIC CENTER","101 PIRATE LANE-POTEAU","",,"POTEAU",OK,74953,,7:00 AM - 7:00 PM,,8811732
"CLARK CHAPMAN COMM. CENTER","301 FIRST ST- TALIHINA","",,"TALIHINA",OK,74571,,7:00 AM - 7:00 PM,,8810413
"OCTAVIA BAPT CH FELLSHIP HALL","68623 US HWY 259","",,"OCTAVIA",OK,74957,,7:00 AM - 7:00 PM,,8810416
"STROUD CITY HALL","220 W. 2ND ST","",,"STROUD",OK,74079,,7:00 AM - 7:00 PM,,8810421
"FIRST ASSEMBLY OF GOD CHURCH","1/2 MI WEST OF WALMART","ON HWY 66",,"CHANDLER",OK,74834,,7:00 AM - 7:00 PM,,8810429
"SPARKS COMMUNITY BUILDING","1 BLOCK N. OF POST OFFICE","",,"SPARKS",OK,74869,,7:00 AM - 7:00 PM,,8810433
"PRAGUE FIRE DEPT. TRAIN. CTR.","1115 N. JIM THORPE BLVD.","",,"PRAGUE",OK,74864,,7:00 AM - 7:00 PM,,8811755
"FIRST ASSEMBLY OF GOD CHURCH","1900 S DIVISION","",,"GUTHRIE",OK,73044,,7:00 AM - 7:00 PM,,8810454
"TURNER SCHOOL AUDITORIUM","HIGHWAY 32 WEST","",,"BURNEYVILLE",OK,73430,,7:00 AM - 7:00 PM,,8810460
"ROSEDALE FIRST BAPTIST CHURCH","37740 ARKANSAS AVE","",,"BYARS",OK,74831,,7:00 AM - 7:00 PM,,8810468
"PURCELL FIRST BAPTIST CHURCH","400 MAIN ST","",,"PURCELL",OK,73080,,7:00 AM - 7:00 PM,,8810482
"CHAPEL OF THE PINES CHURCH","7 MI N BBOW ON HWY 259","HOCHATOWN",,"BROKEN BOW",OK,74728,,7:00 AM - 7:00 PM,,8810494
"CHURCH OF CHRIST","309 E. GENTRY","",,"CHECOTAH",OK,74426,,7:00 AM - 7:00 PM,,8810509
"TEXANNA FIRE DEPARTMENT","TEXANNA ROAD","",,"EUFAULA",OK,74432,,7:00 AM - 7:00 PM,,8810515
"KINGSTON SR. CITIZ. & COMM. BL","14 S. MAIN","",,"KINGSTON",OK,73439,,7:00 AM - 7:00 PM,,8828355
"ADAIR TOWN HALL","533 E MAIN ST","SUITE #4",,"ADAIR",OK,74330,,7:00 AM - 7:00 PM,,8810540
"1ST UNITED METHODIST LG","703 N HIGHWAY 82","",,"LOCUST GROVE",OK,74352,,7:00 AM - 7:00 PM,,8810556
"PRYOR CHURCH OF CHRIST","605 S COO-Y-YAH ST","",,"PRYOR",OK,74361,,7:00 AM - 7:00 PM,,8810553
"EASTERN HEIGHTS BAPTIST CHURCH","2401 HASKELL BLVD","",,"MUSKOGEE",OK,74403,,7:00 AM - 7:00 PM,,8810013
"SALVATION ARMY","700 INDEPENDENCE","",,"MUSKOGEE",OK,74403,,7:00 AM - 7:00 PM,,8810015
"YORK ST CHRISTIAN CHURCH","1125 S YORK","",,"MUSKOGEE",OK,74403,,7:00 AM - 7:00 PM,,8810016
"EMMANUEL PENTECOSTAL CHURCH","100 BUCE ST","",,"BRAGGS",OK,74423,,7:00 AM - 7:00 PM,,8810028
"FIRST ASSEMBLY OF GOD CHURCH","3100 GULICK","",,"MUSKOGEE",OK,74403,,7:00 AM - 7:00 PM,,8810030
"LIFEPOINT CHURCH","2200 S 32 ST","",,"MUSKOGEE",OK,74401,,7:00 AM - 7:00 PM,,8810031
"SUMMIT FIRST BAPTIST CHURCH","1ST & BROADWAY","",,"SUMMIT",OK,74401,,7:00 AM - 7:00 PM,,8810039
"RURAL WATER DISTRICT 3","FRM STOPLIGHT ON 169 GO N 2 ","1/2 MILES BLD ON E SIDE OF RD ",,"NOWATA",OK,74048,,7:00 AM - 7:00 PM,,8835430
"CITIZENS STATE BANK","323 WEST BROADWAY","",,"OKEMAH",OK,74859,,7:00 AM - 7:00 PM,,8810064
"UNITED PENTECOSTAL CHURCH","104 E. BROADWAY","",,"OKEMAH",OK,74859,,7:00 AM - 7:00 PM,,8810069
"BETHANY 1ST CH OF THE NAZARENE","NW 41ST & N MUELLER","",,"OKLAHOMA CITY",OK,73008,,7:00 AM - 7:00 PM,,8811638
"CENTRAL 7TH DAY ADVENTIST CH","4747 NW 63RD ST","",,"OKLAHOMA CITY",OK,73132,,7:00 AM - 7:00 PM,,8811646
"FIRST BAPTIST CHURCH OF NCP","1931 NICHOLS DR","",,"NICOMA PARK",OK,73066,,7:00 AM - 7:00 PM,,8811800
"WESTWOOD CHURCH OF CHRIST","3100 W DANFORTH RD","",,"EDMOND",OK,73012,,7:00 AM - 7:00 PM,,8811651
"EDMOND ROAD BAPTIST CHURCH","1207 W EDMOND RD","",,"EDMOND",OK,73003,,7:00 AM - 7:00 PM,,8811859
"CALVARY TEMPLE","1801 S KELLY AVE","",,"EDMOND",OK,73034,,7:00 AM - 7:00 PM,,8811656
"THE GARVEY CENTER","2501 E MEMORIAL RD","",,"OKLAHOMA CITY",OK,73136,,7:00 AM - 7:00 PM,,8811882
"PRESBYTERIAN CHURCH","1001 S RANKIN ST","",,"EDMOND",OK,73034,,7:00 AM - 7:00 PM,,8811657
"CROSS TIMBERS CHURCH","4201 E MEMORIAL RD","",,"EDMOND",OK,73013,,7:00 AM - 7:00 PM,,8811907
"LIFE CHURCH","4500 E 2ND STREET","",,"EDMOND",OK,73034,,7:00 AM - 7:00 PM,,8811908
"ST JAMES A M E CHURCH","700 N MAIN ST (ARCADIA)","",,"ARCADIA",OK,73007,,7:00 AM - 7:00 PM,,8811913
"LIFE CHURCH. TV","6809 E RENO","",,"MIDWEST CITY",OK,73110,,7:00 AM - 7:00 PM,,8811787
"SOONER BAPTIST CHURCH","5824 SE 15TH ST","",,"MIDWEST CITY",OK,73110,,7:00 AM - 7:00 PM,,8810106
"RIDGECREST CHURCH OF CHRIST","500 N AIR DEPOT","",,"MIDWEST CITY",OK,73110,,7:00 AM - 7:00 PM,,8811669
"CARL ALBERT MIDDLE SCHOOL","2515 S POST RD","",,"MIDWEST CITY",OK,73110,,7:00 AM - 7:00 PM,,8811674
"MWC COMM CH OF THE NAZARENE","10200 SE 15TH","",,"MIDWEST CITY",OK,73130,,7:00 AM - 7:00 PM,,8811675
"ALL SOULS FAMILY LIFE CENTER","6404 N PENNSYLVANIA AVE","",,"OKLAHOMA CITY",OK,73116,,7:00 AM - 7:00 PM,,8811886
"COVENANT PRESBYTERIAN CHURCH","10100 RIDGEVIEW DR","",,"OKLAHOMA CITY",OK,73120,,7:00 AM - 7:00 PM,,8811677
"OUR LORD'S LUTHERAN CHURCH","2900 W HEFNER RD","",,"OKLAHOMA CITY",OK,73120,,7:00 AM - 7:00 PM,,8811856
"BRIDGEWAY CHURCH","228 W HEFNER RD","",,"OKLAHOMA CITY",OK,73114,,7:00 AM - 7:00 PM,,8811902
"THE FOUNTAINS AT CANTERBURY","1404 NW 122ND ST","",,"OKLAHOMA CITY",OK,73114,,7:00 AM - 7:00 PM,,8811900
"CHAPEL HILL UNITED METHODIST","2717 WEST HEFNER RD","",,"OKLAHOMA CITY",OK,73120,,7:00 AM - 7:00 PM,,8811899
"NORTH CHURCH","1601 W. MEMORIAL RD","",,"OKLAHOMA CITY",OK,73134,,7:00 AM - 7:00 PM,,8811871
"ST ELIJAH ANTIOCHIAN CHURCH","15000 N MAY AVE","",,"OKLAHOMA CITY",OK,73134,,7:00 AM - 7:00 PM,,8811693
"FRANCIS TUTTLE TECHNOLOGY CTR","12777 N ROCKWELL AVE","",,"OKLAHOMA CITY",OK,73142,,7:00 AM - 7:00 PM,,8811864
"EPISCOPAL CH OF RESURRECTION","13112 N ROCKWELL AVE","",,"OKLAHOMA CITY",OK,73142,,7:00 AM - 7:00 PM,,8811889
"OUR LORD'S LUTHERAN CHURCH","2900 W. HEFNER RD","",,"OKLAHOMA CITY",OK,73120,,7:00 AM - 7:00 PM,,8811893
"NEW HOPE CHURCH","11600 N COUNCIL RD","",,"OKLAHOMA CITY",OK,73162,,7:00 AM - 7:00 PM,,8811866
"HEFNER MANSIONS","7700 W HEFNER ROAD","",,"OKLAHOMA CITY",OK,73162,,7:00 AM - 7:00 PM,,8811412
"CHEROKEE HILLS BAPTIST CHURCH	","5700 NW 63RD","",,"OKLAHOMA CITY",OK,73132,,7:00 AM - 7:00 PM,,8811905
"HIGHLAND HILLS BAPTIST CHURCH","7900 DEVORE DRIVE","",,"OKLAHOMA CITY",OK,73162,,7:00 AM - 7:00 PM,,8811683
"FIRST INDIA PENTECOSTAL CHURCH","1001 N. COUNCIL RD.","",,"OKLAHOMA CITY",OK,73127,,7:00 AM - 7:00 PM,,8811805
"FRANCIS TUTTLE TC, RENO CAMPUS","7301 W. RENO AVE.","",,"OKLAHOMA CITY",OK,73127,,7:00 AM - 7:00 PM,,8811698
"PLUMBERS AND PIPEFITTERS #344","4335 SW 44TH ST","",,"OKLAHOMA CITY",OK,73119,,7:00 AM - 7:00 PM,,8811700
"PORTLAND AVENUE BAPTIST CHURCH","1301 N PORTLAND AVE","",,"OKLAHOMA CITY",OK,73127,,7:00 AM - 7:00 PM,,8811768
"NORTHWEST CHURCH OF CHRIST","4301 NW 23RD ST","",,"OKLAHOMA CITY",OK,73107,,7:00 AM - 7:00 PM,,8810318
"CENTRAL PRESBYTERIAN CHURCH","5101 N MAY AVE","",,"OKLAHOMA CITY",OK,73112,,7:00 AM - 7:00 PM,,8810272
"MAYFAIR CENTER","3200 NW 48TH ST","",,"OKLAHOMA CITY",OK,73112,,7:00 AM - 7:00 PM,,8811769
"NORTHWEST BAPTIST CHURCH","3030 NW 23RD ST","",,"OKLAHOMA CITY",OK,73107,,7:00 AM - 7:00 PM,,8811705
"PORTLAND AVENUE BAPTIST CH","1301 N PORTLAND AVE","",,"OKLAHOMA CITY",OK,73127,,7:00 AM - 7:00 PM,,8811706
"YOUR KINGDOM COME MINISTRIES","1900 NW 13TH ST","",,"OKLAHOMA CITY",OK,73106,,7:00 AM - 7:00 PM,,8811772
"ANDREWS SQUARE","2101 S HARVEY AVE","",,"OKLAHOMA CITY",OK,73109,,7:00 AM - 7:00 PM,,8811911
"WOODSON PARK SR ACTIVITY CTR","3401 S MAY AVE","",,"OKLAHOMA CITY",OK,73119,,7:00 AM - 7:00 PM,,8811716
"WESTERN HILLS BAPTIST CHURCH","401 SW 44TH ST","",,"OKLAHOMA CITY",OK,73109,,7:00 AM - 7:00 PM,,8811720
"MAY AVENUE WESLEYAN CHURCH","5201 S MAY AVE","",,"OKLAHOMA CITY",OK,73144-0376,,7:00 AM - 7:00 PM,,8811830
"MCGUIRE COMMUNITY CENTER","1316 NE 12TH ST","",,"OKLAHOMA CITY",OK,73117,,7:00 AM - 7:00 PM,,8811784
"REDEEMER LUTHERAN CHURCH","1524 NE GRAND BLVD","",,"OKLAHOMA CITY",OK,73117,,7:00 AM - 7:00 PM,,8811785
"PARKVIEW ELEMENTARY SCHOOL","5701 S MACKLEMAN DR","",,"OKLAHOMA CITY",OK,73135,,7:00 AM - 7:00 PM,,8811749
"HARMONY CHRISTIAN CHURCH","7100 S CHOCTAW RD","",,"CHOCTAW",OK,73020,,7:00 AM - 7:00 PM,,8811848
"PRESTON SCHOOL","10165 PRINGEY AVE","",,"PRESTON",OK,74456,,7:00 AM - 7:00 PM,,8810595
"KEYSTONE HILLS BAPTIST CHURCH","161 NEW PRUE ROAD","",,"SAND SPRINGS",OK,74063,,7:00 AM - 7:00 PM,,8810151
"COMMERCE FIRST BAPTIST CHURCH","109 NORTH CHERRY","",,"COMMERCE",OK,74339,,7:00 AM - 7:00 PM,,8810162
"AFTON CITY HALL","201 SOUTHWEST 1ST STREET","",,"AFTON",OK,74331,,7:00 AM - 7:00 PM,,8810169
"OLD SCHOOL COMMUNITY CENTER","211 E WICHITA ST","",,"CLEVELAND",OK,74020,,7:00 AM - 7:00 PM,,8810661
"WESTPORT BAPTIST CHURCH","7020 W OLD KEYSTONE RD","",,"CLEVELAND",OK,74020,,7:00 AM - 7:00 PM,,8810176
"LIFECHURCH.TV","1917 N. COUNTRY CLUB RD.","",,"STILLWATER",OK,74075,,7:00 AM - 7:00 PM,,8810196
"BARBARA BARCHEERS RESIDENCE","2771 CRAWLEY RD","",,"HARTSHORNE",OK,74547,,7:00 AM - 7:00 PM,,8836933
"ARPELAR NAZARENE CHURCH","ARPELAR","",,"MC ALESTER",OK,74501,,7:00 AM - 7:00 PM,,8810736
"HIGHILL BAPT CHURCH","33 CHURCH RD","",,"MC ALESTER",OK,74501,,7:00 AM - 7:00 PM,,8810741
"PITTSBURG SCHOOL","200 W GRAND","",,"PITTSBURG",OK,74560,,7:00 AM - 7:00 PM,,8810754
"ST. JOSEPH CATHOLIC CHURCH #22","1300 E BEVERLY","",,"ADA",OK,74820,,7:00 AM - 7:00 PM,,8810762
"WINTERSMITH LODGE - #53","1621 WINTERSMITH DRIVE","",,"ADA",OK,74820,,7:00 AM - 7:00 PM,,8810611
"OWL CREEK COMMUNITY CHUR #61","19500 CR 3640 RD","",,"STONEWALL",OK,74871,,7:00 AM - 7:00 PM,,8810771
"FAITH COMMUNITY CHURCH OF GOD","43005 E. MACARTHUR","",,"SHAWNEE",OK,74804,,7:00 AM - 7:00 PM,,8810781
"CHURCH OF CHRIST","905 E WALNUT ST","",,"TECUMSEH",OK,74873,,7:00 AM - 7:00 PM,,8810790
"CLAREMORE ASSEMBLY OF GOD ","2100 W BLUE STARR DR","",,"CLAREMORE",OK,74017,,7:00 AM - 7:00 PM,,8811819
"CHELSEA CIVIC CENTER","618 PINE ST","",,"CHELSEA",OK,74016,,7:00 AM - 7:00 PM,,8810831
"GORE SENIOR CITIZENS PP","313 STEVE OWENS RD","",,"GORE",OK,74435,,7:00 AM - 7:00 PM,,8810868
"ALL SAINTS EPISCOPAL CHURCH","809 W CEDAR AVE","",,"DUNCAN",OK,73533,,7:00 AM - 7:00 PM,,8810880
"WESTERN HEIGHTS BAPTIST","2305 W BEECH AVE","",,"DUNCAN",OK,73533,,7:00 AM - 7:00 PM,,8810884
"FIRST CHRISTIAN CHURCH","DISCIPLE HALL","802 N QUINN",,"GUYMON",OK,73942,,7:00 AM - 7:00 PM,,8823318
"CITY HALL    MANITOU","115 E. 3RD ST.","P.O. BOX 40",,"MANITOU",OK,73555,,7:00 AM - 7:00 PM,,8810916
"TURLEY ASSEMBLY OF GOD CHURCH","6301 N PEORIA AVE","",,"TULSA",OK,74126,,7:00 AM - 7:00 PM,,8810919
"CROSSTOWN LEARNING CENTER","2501 E ARCHER ST","",,"TULSA",OK,74110,,7:00 AM - 7:00 PM,,8810932
"ST ANTONY'S ORTHODOX CHR CH","2645 E 6 ST","",,"TULSA",OK,74104,,7:00 AM - 7:00 PM,,8810942
"SHERIDAN CHRISTIAN CENTER","205 S SHERIDAN RD","",,"TULSA",OK,74112,,7:00 AM - 7:00 PM,,8810946
"EAST SIDE CHRISTIAN CHURCH","1438 S INDIANAPOLIS AVE","",,"TULSA",OK,74112,,7:00 AM - 7:00 PM,,8810639
"EASTLAND BAPT CH FAMILY CTR","2001 S 129 E AVE","",,"TULSA",OK,74108,,7:00 AM - 7:00 PM,,8825284
"SOUTHMINSTER PRESBY CHURCH","3500 S PEORIA AVE","",,"TULSA",OK,74105,,7:00 AM - 7:00 PM,,8810966
"WHITESIDE COMMUNITY CENTER","4009 S PITTSBURG AVE","",,"TULSA",OK,74135,,7:00 AM - 7:00 PM,,8810981
"TANDY FAMILY Y.M.C.A.","5005 S. DARLINGTON AVE.","",,"TULSA",OK,74135,,7:00 AM - 7:00 PM,,8836788
"ST PETER'S EPISCOPAL CHURCH","9100 E 21 PL","",,"TULSA",OK,74129,,7:00 AM - 7:00 PM,,8810989
"JOHN CALVIN PRESBYTERIAN CH","8181 E 31 ST ","",,"TULSA",OK,74145,,7:00 AM - 7:00 PM,,8810676
"COMMUNITY BAPTIST CHURCH","2805 S GARNETT RD","",,"TULSA",OK,74129,,7:00 AM - 7:00 PM,,8836474
"COMMUNITY BAPTIST CHURCH","2805 S GARNETT RD","",,"TULSA",OK,74129,,7:00 AM - 7:00 PM,,8823687
"KIRK OF THE HILLS PRESB CHURCH","4102 E 61 ST","",,"TULSA",OK,74136,,7:00 AM - 7:00 PM,,8811014
"TULSA BIBLE CHURCH","5838 S SHERIDAN RD","",,"TULSA",OK,74145,,7:00 AM - 7:00 PM,,8810645
"PARKVIEW BAPTIST CHURCH","5805 S SHERIDAN RD","",,"TULSA",OK,74145,,7:00 AM - 7:00 PM,,8811019
"LAFORTUNE TOWERS","1725 SOUTHWEST BLVD","",,"TULSA",OK,74107,,7:00 AM - 7:00 PM,,8811027
"LIFE PARK CHRISTIAN FELLOWSHIP","5900 S UNION AVE","",,"TULSA",OK,74107,,7:00 AM - 7:00 PM,,8823391
"THE CHURCH AT BATTLECREEK","3025 N ASPEN AVE","",,"BROKEN ARROW",OK,74012,,7:00 AM - 7:00 PM,,8811037
"GRACE CHURCH","9610 S GARNETT RD","",,"BROKEN ARROW",OK,74012,,7:00 AM - 7:00 PM,,8828492
"WOODLAND ACRES BAPTIST CH","5511 S HARVARD AVE","",,"TULSA",OK,74135,,7:00 AM - 7:00 PM,,8810666
"SOUTH BROKEN ARROW BAPTIST CH","7815 S ELM PL","",,"BROKEN ARROW",OK,74011,,7:00 AM - 7:00 PM,,8811066
"EVERGREEN BAPTIST CHURCH","10301 E 111 ST SOUTH ","",,"BIXBY",OK,74008,,7:00 AM - 7:00 PM,,8811730
"NAZARENE CHURCH - BROKEN ARROW","401 W NEW ORLEANS","",,"BROKEN ARROW",OK,74011,,7:00 AM - 7:00 PM,,8811076
"TRINITY LUTHERAN CHURCH","5750 S ELM PL","",,"BROKEN ARROW",OK,74011,,7:00 AM - 7:00 PM,,8811086
"MARANATHA BAPTIST TEMPLE","12602 N MEMORIAL DR","",,"COLLINSVILLE",OK,74021,,7:00 AM - 7:00 PM,,8811088
