state,county_name,municipality,precinct_id,name,address
RI,,EAST PROVIDENCE,1001,FRANCIS SCHOOL,"64 BOURNE AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1002,CITY VIEW MANOR,"99 GOLDSMITH AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1003,WHITEKNACT SCHOOL,"261 GROSVENOR AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1004,RUMFORD TOWERS,"95 NEWMAN AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1005,FRANCIS SCHOOL,"64 BOURNE AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1006,EAST PROVIDENCE HIGH SCHOOL,"2000 PAWTUCKET AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1007,ST MARTHA'S CHURCH HALL,"2595 PAWTUCKET AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1008,ST FRANCIS CHURCH HALL,"81 N CARPENTER ST, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1009,HENNESSEY SCHOOL,"75 FORT ST, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1010,MARTIN MIDDLE SCHOOL,"111 BROWN ST, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1011,KENT HEIGHTS SCHOOL,"2680 PAWTUCKET AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1012,RIVERSIDE CONGREGATIONAL,"295 BULLOCKS POINT AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1013,HARBOR VIEW MANOR,"3663 PAWTUCKET AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1014,RIVERSIDE LIBRARY,"475 BULLOCKS POINT AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1015,CRESCENT PARK MANOR,"243 CRESCENT VIEW AVE, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1016,WADDINGTON SCHOOL,"101 LEGION WAY, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1017,OLDHAM SCHOOL ( FORMERLY MEADOWCREST),"60 BART DR, EAST PROVIDENCE, RI 00000"
RI,,EAST PROVIDENCE,1018,CITY HALL - LIMITED,"145 TAUNTON AVE, EAST PROVIDENCE, RI 00000"
RI,,EXETER,1101,SAINT KATERI TEKAKWITH CHURCH,"84 EXETER RD, EXETER, RI 00000"
RI,,EXETER,1102,METCALF SCHOOL CAFETERIA,"30 NOOSENECK HILL RD, EXETER, RI 00000"
RI,,EXETER,1103,EXETER JOB CORPS ACADEMY,"162 MAIN ST, EXETER, RI 00000"
RI,,EXETER,1104,TOWN HALL - LIMITED,"675 TEN ROD RD, EXETER, RI 00000"
RI,,FOSTER,1201,CAPTAIN ISAAC PAINE SCHOOL,"160 FOSTER CENTER RD, FOSTER, RI 00000"
