state,jurisdiction_type,county_name,municipality,name,address,polling_place_type,election_date
NM,county,Bernalillo,Albuquerque,VCC 13 - Los Ranchos Villa,"6601 4th St NW, Suite E F, Albuquerque, NM, 87107",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,ED - SPARE 04,"SPARE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 34 - Garfield Middle School,"3501 6th St NW, Albuquerque, NM, 87107",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 29 - Double Eagle Elementary School,"8901 Lowell Dr NE, Albuquerque, NM, 87122",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 53 - Pajarito Elementary School,"2701 Don Felipe SW, Albuquerque, NM, 87105",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 57 - Rudolfo Anaya Elementary School,"2800 Vermejo Park Dr SW, Albuquerque, NM, 87121",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 15 - South Valley Multi Purpose Senior Center,"2008 Larrazolo Rd SW, Albuquerque, NM, 87105",vote_center,11/06/2018
NM,county,Bernalillo,To'Hajiilee,VCC 08 - Desiderio Community Center ,"117 Tribal Rd 7036, To'Hajiilee, NM, 87026",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 14 - Petroglyph Plaza,"8201 Golf Course Rd, Suite D-1, Albuquerque, NM, 87120",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 49 - McKinley Middle School,"4500 Comanche Rd NE, Albuquerque, NM, 87110",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 07 - Daskalos Center,"5339 Menaul Blvd NE, Albuquerque, NM, 87110",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 51 - Mountain View Community Center,"201 Prosperity Ave SE, Albuquerque, NM, 87105",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 39 - Hubert H Humphrey Elementary School,"9801 Academy Hills Dr NE, Albuquerque, NM, 87111",vote_center,11/06/2018
NM,county,Bernalillo,Los Ranchos De Albuquerque,VCC 59 - Taylor Middle School,"8200 Guadalupe Tr NW, Los Ranchos De Albuquerque, NM, 87114",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 37 - Highland High School,"4700 Coal Ave SE, Albuquerque, NM, 87108",vote_center,11/06/2018
NM,county,Catron,Quemado,Quemado Community Center,"27 Lopez St, Quemado, NM, 87829",vote_center,11/06/2018
NM,county,Catron,Luna,Luna Community Center,"31 Luna Valley Dr, Luna, NM, 87824",vote_center,11/06/2018
NM,county,Catron,Datil,Datil Fire Station,"16 Old State Road 60, Datil, NM, 87821",vote_center,11/06/2018
NM,county,Catron,Reserve,Reserve Community Center,"37 Mountaineer Rd, Reserve, NM, 87830",vote_center,11/06/2018
NM,county,Catron,Aragon,Aragon Fire Station,"2596 Highway 12, Aragon, NM, 87820",vote_center,11/06/2018
NM,county,Catron,Pie Town,Pie Town Community Center,"6 Beanery Rd, Pie Town, NM, 87827",vote_center,11/06/2018
NM,county,Catron,Datil,Horse Mountain Fire Station,"9 Frontier Trail, Datil, NM, 87821",vote_center,11/06/2018
