county_name,municipality,precinct_id,name,address
BERKELEY,MARTINSBURG,56,BETHEL ASSEMBLY OF GOD CHURCH,"2010 TAVERN ROAD, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,105,VALLEY VIEW ELEMENTARY SCHOOL,"140 NADENBOUSCH LANE, MARTINSBURG, WV 25405"
BERKELEY,MARTINSBURG,106,BAKER HEIGHTS BAPTIST CHURCH,"580 NEEDY ROAD, MARTINSBURG, WV 25405"
BERKELEY,MARTINSBURG,107,BAKER HEIGHTS BAPTIST CHURCH,"580 NEEDY ROAD, MARTINSBURG, WV 25405"
BERKELEY,HEDGESVILLE,108,HEDGESVILLE HIGH SCHOOL,"109 RIDGE ROAD NORTH, HEDGESVILLE, WV 25427"
BERKELEY,MARTINSBURG,110,BERKELEY HEIGHTS ELEMENTARY SCHOOL,"726 HACK WILSON WAY, MARTINSBURG, WV 25401"
BERKELEY,BUNKER HILL,111,MUSSELMAN MIDDLE SCHOOL,"105 PRIDE AVENUE, BUNKER HILL, WV 25413"
BERKELEY,MARTINSBURG,112,PIKESIDE SCHOOL,"3635 WINCHESTER AVENUE, MARTINSBURG, WV 25405"
BERKELEY,BUNKER HILL,113,MUSSELMAN MIDDLE SCHOOL,"105 PRIDE AVENUE, BUNKER HILL, WV 25413"
BERKELEY,INWOOD,114,MUSSELMAN HIGH SCHOOL,"126 EXCELLENCE WAY, INWOOD, WV 25428"
BERKELEY,INWOOD,115,ST LEO'S CATHOLIC CHURCH,"2109 SULPHUR SPRINGS ROAD, INWOOD, WV 25428"
BERKELEY,MARTINSBURG,18A,SPRING MILLS MIDDLE SCHOOL,"255 CAMPUS DRIVE, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,22A,TRINITY LUTHERAN CHURCH,"1643 PITZERS CHAPEL ROAD, MARTINSBURG, WV 25403"
BERKELEY,GERRARDSTOWN,43A,MOUNTAIN RIDGE INTERMEDIATE,"2691 GERRARDSTOWN ROAD, GERRARDSTOWN, WV 25420"
BERKELEY,HEDGESVILLE,46A,JR ORDER UNITED AMER. MECHANICS LODGE,"2030 BACK CREEK VALLEY ROAD, HEDGESVILLE, WV 25427"
