state,election_date,jurisdiction_type,municipality,precinct_name,name,address
NH,2016-11-08,municipality,CENTER HARBOR,,Center Harbor Town Office,36 Main St Center Harbor NH 03226
NH,2016-11-08,municipality,CHARLESTOWN,,Library-Municipal Building,26 Railroad St Charlestown NH 03603
NH,2016-11-08,municipality,CHATHAM,,Chatham Town Hall,1071 Main Rd Chatham NH 03813
NH,2016-11-08,municipality,CHESTER,,Chester Municipal Office,84 Chester St Chester NH 03036
NH,2016-11-08,municipality,CHESTERFIELD,,Chesterfield Town Hall,518 Route 63 Chesterfield NH 03443
NH,2016-11-08,municipality,CHICHESTER,,Chichester Town Hall,54 Main St Chichester NH 03258
NH,2016-11-08,municipality,CLAREMONT ,WARD 01,WARD 01 - Claremont Middle,School 107 South St Claremont NH 03743
NH,2016-11-08,municipality,CLAREMONT ,WARD 02,WARD 02 - Claremont Middle,School 107 South St Claremont NH 03743
NH,2016-11-08,municipality,CLAREMONT ,WARD 03,WARD 03 - Disnard,Elementary School 160 Hanover St Claremont NH 03743
NH,2016-11-08,municipality,CLARKSVILLE,,Clarksville Town Hall,408 Nh Rt 145 Clarksville NH 03592
NH,2016-11-08,municipality,COLEBROOK,,Colebrook Elementary School,Gym 27 Dumont St Colebrook NH 03576
NH,2016-11-08,municipality,COLUMBIA,,Columbia Town Hall,1919 Us Route 3 Columbia NH 03576
NH,2016-11-08,municipality,CONCORD ,WARD 01,WARD 01 - Immaculate,Conception Church 9 Bonney St Concord NH 03303
NH,2016-11-08,municipality,CONCORD ,WARD 02,WARD 02 - West,Congregational Church 499 North State St Concord NH 03301
NH,2016-11-08,municipality,CONCORD ,WARD 03,WARD 03 - Beaver Meadow,Golf Course 1 Beaver Meadow St Concord NH 03301
NH,2016-11-08,municipality,CONCORD ,WARD 04,WARD 04 - Boys & Girls Club,Of Greater Concord 55 Bradley - Polling Place Only St Concord NH 03301
NH,2016-11-08,municipality,CONCORD ,WARD 05,WARD 05 - Green Street,Community Center 39 Green St Concord NH 03301
NH,2016-11-08,municipality,CONCORD ,WARD 06,WARD 06 - St John's Church,72 South Main St Concord NH 03301
NH,2016-11-08,municipality,CONCORD ,WARD 07,WARD 07 - West Street Ward,House 41 West St Concord NH 03301
NH,2016-11-08,municipality,CONCORD ,WARD 08,WARD 08 - Bektash Temple,189 Pembroke Rd Concord NH 03301
NH,2016-11-08,municipality,CONCORD ,WARD 09,WARD 09 - Havenwood,33 Christian Ave Concord NH 03301
NH,2016-11-08,municipality,CONCORD ,WARD 10,WARD 10 - Broken Ground,School 123 Portsmouth St Concord NH 03301
NH,2016-11-08,municipality,CONWAY,,Conway Community Building,1808 East Main St Conway NH 03813
NH,2016-11-08,municipality,CORNISH,,Cornish Elementary School,994 Town House Rd Cornish NH 03745
NH,2016-11-08,municipality,CROYDON,,Croydon Town Hall,879 Nh Route 10 Croydon NH 03773
NH,2016-11-08,municipality,DALTON,,Dalton Municipal Building,756 Dalton Rd Dalton NH 03598
NH,2016-11-08,municipality,DANBURY,,Danbury Town Hall,23 High St Danbury NH 03230
NH,2016-11-08,municipality,DANVILLE,,Danville Community Center,169 Main St Danville NH 03819
NH,2016-11-08,municipality,DEERFIELD,,Deerfield Town Hall,10 Church St Deerfield NH 03037
NH,2016-11-08,municipality,DEERING,,Deering Town Hall,762 Deering Center Rd Deering NH 03244
NH,2016-11-08,municipality,DERRY ,WARD 01,WARD 01 - Gilbert H Hood,Middle School Dist #1 5 Gilbert Hood Middle School Rd Derry NH 03038
NH,2016-11-08,municipality,DERRY ,WARD 02,WARD 02 - Calvary Bible,School #2 145 Hampstead Rd Derry NH 03038
NH,2016-11-08,municipality,DERRY ,WARD 03,WARD 03 - West Running,Brook Middle School Dist #3 1 West Running Brook Ln Derry NH 03038
NH,2016-11-08,municipality,DERRY ,WARD 04,WARD 04 - Gilbert H Hood,Middle School Dist #4 5 Hood Rd Derry NH 03038
NH,2016-11-08,municipality,DIXVILLE,,Wilderness Ski Lodge,10 Wilderness Rd Dixville NH 03576
NH,2016-11-08,municipality,DORCHESTER,,Dorchester Town House,24 Town House Rd Dorchester NH 03266
NH,2016-11-08,municipality,DOVER ,WARD 01,WARD 01 - Saint Mary's,Church Hall 21 Chestnut St Dover NH 03820
NH,2016-11-08,municipality,DOVER ,WARD 02,WARD 02 - First Parish,Congregational Church 218 Central Ave Dover NH 03820
NH,2016-11-08,municipality,DOVER ,WARD 03,WARD 03 - Langdon Place,60 Middle Rd Dover NH 03820
NH,2016-11-08,municipality,DOVER ,WARD 04,WARD 04 - Elks Lodge,282 Durham Rd Dover NH 03820
NH,2016-11-08,municipality,DOVER ,WARD 05,WARD 05 - Saint John's,Methodist Church 28 Cataract Ave Dover NH 03820
NH,2016-11-08,municipality,DOVER ,WARD 06,WARD 06 - Riverside Rest,Home 276 County Farm Rd Dover NH 03820
NH,2016-11-08,municipality,DUBLIN,,Dublin Town Hall,1120 Main St Dublin NH 03444
NH,2016-11-08,municipality,DUMMER,,Dummer Town Hall,75 Hill Rd Dummer NH 03588
NH,2016-11-08,municipality,DUNBARTON,,Dunbarton Community Center,20 Robert Rogers Rd Dunbarton NH 03046
NH,2016-11-08,municipality,DURHAM,,Oyster River High School,55 Coe Dr Durham NH 03824
NH,2016-11-08,municipality,EAST KINGSTON,,East Kingston Elementary,School (Multi-Purpose Room) 5 Andrews Ln East Kingston NH 03827
NH,2016-11-08,municipality,EASTON,,Easton Town Hall,1060 Easton Valley Rd Easton NH 03580
NH,2016-11-08,municipality,EATON,,Evans Memorial Bldg - Eaton,Town Hall 83 Brownfield Rd Eaton NH 03849
NH,2016-11-08,municipality,EFFINGHAM,,Effingham Elementary School,6 Partridge Cove Rd Effingham NH 03882
NH,2016-11-08,municipality,ELLSWORTH,,Ellsworth Town Hall,3 Ellsworth Pond Rd Ellsworth NH 03223
NH,2016-11-08,municipality,ENFIELD,,Whitney Hall,23 Main St Enfield NH 03748
NH,2016-11-08,municipality,EPPING,,Epping Middle School Gym,21 Academy St Epping NH 03042
NH,2016-11-08,municipality,EPSOM,,Epsom Central School,282 Black Hall Rd Epsom NH 03234
NH,2016-11-08,municipality,ERROL,,Errol Town Hall,33 Main St Errol NH 03579
NH,2016-11-08,municipality,EXETER,,Talbot Gym,30 Linden St Exeter NH 03833
NH,2016-11-08,municipality,FARMINGTON ,WARD 01,WARD 01 - Farmington Town,Hall Gymnasium 531 Main St Farmington NH 03835
NH,2016-11-08,municipality,FITZWILLIAM,,Fitzwilliam Town Hall,13 Templeton Tpke Fitzwilliam NH 03447
NH,2016-11-08,municipality,FRANCESTOWN,,"Town Office Building, Lower",Level 27 Main St Francestown NH 03043
NH,2016-11-08,municipality,FRANCONIA,,Franconia Town Hall,421 Main St Franconia NH 03580
NH,2016-11-08,municipality,FRANKLIN ,WARD 01,WARD 01 - Thompson Hall,47 South Main St Franklin NH 03235
NH,2016-11-08,municipality,FRANKLIN ,WARD 02,WARD 02 - City Hall,316 Central St Franklin NH 03235
NH,2016-11-08,municipality,FRANKLIN ,WARD 03,WARD 03 - Franklin Middle,School 200 Sanborn St Franklin NH 03235
NH,2016-11-08,municipality,FREEDOM,,Freedom Town Hall,16 Elm St Freedom NH 03836
NH,2016-11-08,municipality,FREMONT,,Ellis School,432 Main St Fremont NH 03044
NH,2016-11-08,municipality,GILFORD,,Gilford Community Church,19 Potter Hill Rd Gilford NH 03249
NH,2016-11-08,municipality,GILMANTON,,Gilmanton Academy Building,503 Province Rd Gilmanton NH 03237
NH,2016-11-08,municipality,GILSUM,,Gilsum Community Center,640 Route 10 Gilsum NH 03448
NH,2016-11-08,municipality,GOFFSTOWN ,WARD 01,WARD 01 - Goffstown High,School 27 Wallace Rd Goffstown NH 03045
NH,2016-11-08,municipality,GOFFSTOWN ,WARD 05,WARD 05 - Bartlett,Elementary School 689 Mast Rd Goffstown NH 03102
NH,2016-11-08,municipality,GORHAM,,Gorham Town Hall,20 Park St Gorham NH 03581
NH,2016-11-08,municipality,GOSHEN,,Goshen Town Hall,54 Mill Village Rd N Goshen NH 03752
NH,2016-11-08,municipality,GRAFTON,,Grafton Fire And Ambulance,Station 10 Library Rd Grafton NH 03240
NH,2016-11-08,municipality,GRANTHAM,,Grantham Town Hall,300 Route 10 S Grantham NH 03753
NH,2016-11-08,municipality,GREENFIELD,,Greenfield Meeting House,776 Forest Rd Greenfield NH 03047
NH,2016-11-08,municipality,GREENLAND,,Greenland Central School,70 Post Rd Greenland NH 03840
NH,2016-11-08,municipality,GREEN'S GRANT,,Gorham Town Hall,20 Park St Green's Grant NH 03581
NH,2016-11-08,municipality,GREENVILLE,,Greenville Elementary School,16 Adams St Greenville NH 03048
NH,2016-11-08,municipality,GROTON,,Groton Town House,754 N Groton Rd Groton NH 03241
NH,2016-11-08,municipality,HAMPSTEAD,,Hampstead Middle School,28 School St Hampstead NH 03841
NH,2016-11-08,municipality,HAMPTON,,Marston School,4 Marston Way Hampton
NH,2016-11-08,municipality,HAMPTON FALLS,,Hampton Falls Town Office,1 Drinkwater Rd Hampton Falls NH 03844
NH,2016-11-08,municipality,HANCOCK,,Hancock Town Office,50 Main St Hancock NH 03449
NH,2016-11-08,municipality,HANOVER,,Hanover High School Gym,41 Lebanon St Hanover NH 03755
NH,2016-11-08,municipality,HARRISVILLE,,Town Office Building,705 Chesham Rd Harrisville NH 03450
NH,2016-11-08,municipality,HART'S LOCATION,,Town Hall,979 Route 302 Hart's Location NH 03812
NH,2016-11-08,municipality,HAVERHILL,,Town Municipal Building,2975 Dartmouth College Hwy Haverhill NH 03774
NH,2016-11-08,municipality,HEBRON,,Community Hall - Basement Of,Union Congregational Church 16 Church Ln Hebron NH 03241
NH,2016-11-08,municipality,HENNIKER,,Henniker Community School,51 Western Ave Henniker NH 03242
NH,2016-11-08,municipality,HILL,,Hill Public Library,30 Crescent St Hill NH 03243
NH,2016-11-08,municipality,HILLSBOROUGH,,Hillsboro-Deering Middle,School Auditorium 6 Hillcat Dr Hillsborough NH 03244
NH,2016-11-08,municipality,HINSDALE,,Hinsdale Community Center,19 Main St Hinsdale NH 03451
NH,2016-11-08,municipality,HOLDERNESS,,Holderness Town Hall,1089 Us Rt 3 Holderness NH 03245
NH,2016-11-08,municipality,HOLLIS,,Hollis/Brookline Co-Operative,High School 24 Cavalier Ct Hollis NH 03049
NH,2016-11-08,municipality,HOOKSETT ,WARD 01,WARD 01 - Cawley Middle,School 89 Ward 01 Whitehall Rd Hooksett NH 03106
NH,2016-11-08,municipality,HOOKSETT ,WARD 02,WARD 02 - Cawley Middle,School 89 Ward 02 Whitehall Rd Hooksett NH 03106
NH,2016-11-08,municipality,HOOKSETT ,WARD 03,WARD 03 - Cawley Middle,School 89 Ward 03 Whitehall Rd Hooksett NH 03106
NH,2016-11-08,municipality,HOOKSETT ,WARD 04,WARD 04 - Cawley Middle,School 89 Ward 04 Whitehall Rd Hooksett NH 03106
NH,2016-11-08,municipality,HOOKSETT ,WARD 05,WARD 05 - Cawley Middle,School 89 Ward 05 Whitehall Rd Hooksett NH 03106
NH,2016-11-08,municipality,HOOKSETT ,WARD 06,WARD 06 - Cawley Middle,School 89 Ward 06 Whitehall Rd Hooksett NH 03106
NH,2016-11-08,municipality,HOPKINTON,,Hopkinton High School,297 Park Ave Hopkinton NH 03229
NH,2016-11-08,municipality,HUDSON,,Hudson Community Center,12 Lions Ave Hudson NH 03051
NH,2016-11-08,municipality,JACKSON,,Whitney Community Center,16 Black Mountain Rd Jackson NH 03846
NH,2016-11-08,municipality,JAFFREY,,Jaffrey Vfw,12 Hathorn Rd Jaffrey NH 03452
NH,2016-11-08,municipality,JEFFERSON,,Jefferson Town Hall,698 Presidential Hwy Jefferson NH 03583
NH,2016-11-08,municipality,KEENE ,WARD 01,WARD 01 - Michael E.J.,Blastos Community Room 400 Marlboro St Keene NH 03431
NH,2016-11-08,municipality,KEENE ,WARD 02,WARD 02 - Keene Parks And,Recreation Center 312 Washington St Keene NH 03431
NH,2016-11-08,municipality,KEENE ,WARD 03,WARD 03 - Keene Middle,School 167 Maple Ave Keene NH 03431
NH,2016-11-08,municipality,KEENE ,WARD 04,WARD 04 - Symonds School,79 Park Ave Keene NH 03431
NH,2016-11-08,municipality,KEENE ,WARD 05,WARD 05 - Crossway Church,28 Arch St Keene NH 03431
NH,2016-11-08,municipality,KENSINGTON,,Kensington Elementary School,122 Amesbury Rd Kensington NH 03833
NH,2016-11-08,municipality,KINGSTON,,Swasey Gym,178 Main St Kingston NH 03848
NH,2016-11-08,municipality,LACONIA ,WARD 01,WARD 01 - Belknap County,Nursing Home 30 County Dr Laconia NH 03246
NH,2016-11-08,municipality,LACONIA ,WARD 02,WARD 02 - St Andre Besset,Parish Hall 12 Gilford Ave Laconia NH 03246
NH,2016-11-08,municipality,LACONIA ,WARD 03,WARD 03 - Laconia Middle,School - Multi-Purpose Room 150 Mcgrath St Laconia NH 03246
NH,2016-11-08,municipality,LACONIA ,WARD 04,WARD 04 - New Covenant,Christian Church @ Memorial Park Clubhouse 31 Lindsay Ct Laconia NH 03246
NH,2016-11-08,municipality,LACONIA ,WARD 05,WARD 05 - Woodland Heights,Elementary School 225 Winter St Laconia NH 03246
NH,2016-11-08,municipality,LACONIA ,WARD 06,WARD 06 - Leavitt Park,Clubhouse 334 Elm St Laconia NH 03246
NH,2016-11-08,municipality,LANCASTER,,Lancaster Town Hall,Auditorium 25 Main St Lancaster NH 03584
NH,2016-11-08,municipality,LANDAFF,,Landaff Town Hall,12 Center Hill Rd Landaff NH 03585
NH,2016-11-08,municipality,LANGDON,,Langdon Municipal Building,122 Nh Route 12A Langdon NH 03602
NH,2016-11-08,municipality,LEBANON ,WARD 01,WARD 01 - Kilton Public,Library 80 Main St Lebanon NH 03784
NH,2016-11-08,municipality,LEBANON ,WARD 02,WARD 02 - United Methodist,Church Of Lebanon 18 School St Lebanon NH 03766
NH,2016-11-08,municipality,LEBANON ,WARD 03,WARD 03 - Lebanon City Hall,51 North Park St Lebanon NH 03766
NH,2016-11-08,municipality,LEE,,Lee Safety Complex,20 George Bennett Rd Lee NH 03861
NH,2016-11-08,municipality,LEMPSTER,,Lempster Town Office,856 Us Route 10 Lempster NH 03605
NH,2016-11-08,municipality,LINCOLN,,Lincoln Town Hall,148 Main St Lincoln NH 03251
NH,2016-11-08,municipality,LISBON,,Lisbon Regional School,25 Highland Ave Lisbon NH 03585
NH,2016-11-08,municipality,LITCHFIELD,,Campbell High School,1 Highlander Ct Litchfield NH 03052
NH,2016-11-08,municipality,LITTLETON,,Littleton Highway Garage,240 W Main St Littleton NH 03561
NH,2016-11-08,municipality,LONDONDERRY,,Londonderry High School Gym,295 Mammoth Rd Londonderry NH 03053
NH,2016-11-08,municipality,LOUDON,,Arthur Colby Safety Complex -,Loudon Fire Dept 7 Cooper St Loudon NH 03307
NH,2016-11-08,municipality,LYMAN,,Lyman Town Hall,65 Parker Hill Rd Lyman NH 03585
NH,2016-11-08,municipality,LYME,,Lyme Community Gymnasium,35 Union St Lyme NH 03768
NH,2016-11-08,municipality,LYNDEBOROUGH,,Citizens' Hall,9 Citizens Hall Rd Lyndeborough NH 03082
NH,2016-11-08,municipality,MADBURY,,Madbury Town Hall,13 Town Hall Rd Madbury NH 03823
NH,2016-11-08,municipality,MADISON,,Madison Elementary School,Gym 2069 Village Rd Madison NH 03849
NH,2016-11-08,municipality,MANCHESTER ,WARD 01,WARD 01 - Webster School,2519 Elm St Manchester NH 03104
NH,2016-11-08,municipality,MANCHESTER ,WARD 02,WARD 02 - Hillside Middle,School 112 Reservoir Ave Manchester NH 03104
NH,2016-11-08,municipality,MANCHESTER ,WARD 03,WARD 03 - Carol M. Rines,Center 1528 Elm St Manchester NH 03101
NH,2016-11-08,municipality,MANCHESTER ,WARD 04,WARD 04 - Mcdonough,School 550 Lowell St Manchester NH 03104
NH,2016-11-08,municipality,MANCHESTER ,WARD 05,WARD 05 - Beech Street,School 333 Beech St Manchester NH 03103
NH,2016-11-08,municipality,MANCHESTER ,WARD 06,WARD 06 - St. Pius Ccd,Center 167 Sarto St Manchester NH 03109
NH,2016-11-08,municipality,MANCHESTER ,WARD 07,WARD 07 - St. Anthony,Community Center 148 Belmont St Manchester NH 03103
NH,2016-11-08,municipality,MANCHESTER ,WARD 08,WARD 08 - Memorial High,School 1 Crusader Way Manchester NH 03103
NH,2016-11-08,municipality,MANCHESTER ,WARD 09,WARD 09 - Bishop Leo E.,O'neil Youth Center 30 S Elm St Manchester NH 03103
NH,2016-11-08,municipality,MANCHESTER ,WARD 10,WARD 10 - Parker Varney,School 223 James A Pollock Dr Manchester NH 03102
NH,2016-11-08,municipality,MANCHESTER ,WARD 11,WARD 11 - Gossler School,145 Parkside St Manchester NH 03102
NH,2016-11-08,municipality,MANCHESTER ,WARD 12,WARD 12 - Northwest,Elementary School 300 Youville St Manchester NH 03102
NH,2016-11-08,municipality,MARLBOROUGH,,Marlborough Community,House 160 Main St Marlborough NH 03455
NH,2016-11-08,municipality,MARLOW,,"John D. Perkins, Sr. Academy",Of Marlow 919 Nh Rt 10 Marlow NH 03456
NH,2016-11-08,municipality,MASON,,Mason Elementary School,13 Darling Hill Rd Mason NH 03048
NH,2016-11-08,municipality,MEREDITH,,Meredith Community Center,1 Circle Dr Meredith NH 03253
NH,2016-11-08,municipality,MERRIMACK ,WARD 03,WARD 03 - St John Neumann,Church 708 Milford - Polling Location Only Rd Merrimack NH 03054
NH,2016-11-08,municipality,MIDDLETON,,Middleton Old Town Hall,200 Kings Hwy Middleton NH 03887
NH,2016-11-08,municipality,MILAN,,Milan Village School Gym,11 Bridge St Milan NH 03588
NH,2016-11-08,municipality,MILFORD,,Milford Middle School,33 Osgood Rd Milford NH 03055
NH,2016-11-08,municipality,MILTON,,Milton Assembly Of God,Church 370 White Mountain Hwy Milton NH 03851
NH,2016-11-08,municipality,MONROE,,Monroe Town Hall,50 Main St Monroe NH 03771
NH,2016-11-08,municipality,MONT VERNON,,Mont Vernon Village School,1 Kittredge Rd Mont Vernon NH 03057
NH,2016-11-08,municipality,MOULTONBOROUG H,,Moultonborough Public Safety,Building 1035 Whittier Hwy Moultonborough NH 03254
NH,2016-11-08,municipality,NASHUA ,WARD 01,WARD 01 - Broad Street,Elementary School 390 Broad St Nashua NH 03063
NH,2016-11-08,municipality,NASHUA ,WARD 02,WARD 02 - Charlotte Avenue,Elementary School 48 Charlotte Ave Nashua NH 03064
NH,2016-11-08,municipality,NASHUA ,WARD 03,WARD 03 - Amherst Street,Elementary School 71 Amherst St Nashua NH 03064
NH,2016-11-08,municipality,NASHUA ,WARD 04,WARD 04 - Ledge Street,Elementary School 139 Ledge St Nashua NH 03060
NH,2016-11-08,municipality,NASHUA ,WARD 05,WARD 05 - Main Dunstable,Elementary School 20 Whitford Rd Nashua NH 03062
NH,2016-11-08,municipality,NASHUA ,WARD 06,WARD 06 - Fairgrounds,Middle School 27 Cleveland St Nashua NH 03060
NH,2016-11-08,municipality,NASHUA ,WARD 07,WARD 07 - Dr. Norman W.,Crisp Elementary School 50 Arlington St Nashua NH 03060
NH,2016-11-08,municipality,NASHUA ,WARD 08,WARD 08 - Bicentennial,Elementary School 296 East Dunstable Rd Nashua NH 03062
NH,2016-11-08,municipality,NASHUA ,WARD 09,WARD 09 - New Searles,Elementary School 39 Shady Ln Nashua NH 03062
NH,2016-11-08,municipality,NELSON,,Nelson Town Hall,7 Nelson Common Rd Nelson NH 03457
NH,2016-11-08,municipality,NEW BOSTON,,New Boston Central,Elementary School 15 Central School Rd New Boston NH 03070
NH,2016-11-08,municipality,NEW CASTLE,,New Castle Recreation Center,301 Wentworth Rd New Castle NH 03854
NH,2016-11-08,municipality,NEW DURHAM,,New Durham School,7 Old Bay Rd New Durham NH 03855
NH,2016-11-08,municipality,NEW HAMPTON,,New Hampton Town House,86 Town House Rd New Hampton NH 03256
NH,2016-11-08,municipality,NEW IPSWICH,,Mascenic Regional High,School 175 Turnpike Rd New Ipswich NH 03071
NH,2016-11-08,municipality,NEW LONDON,,Whipple Memorial Town Hall,429 Main St New London NH 03257
NH,2016-11-08,municipality,NEWBURY,,Town Office Building,937 Route 103 Newbury NH 03255
NH,2016-11-08,municipality,NEWFIELDS,,Newfields Town Hall,65 Main St Newfields NH 03856
NH,2016-11-08,municipality,NEWINGTON,,Newington Town Hall,205 Nimble Hill Rd Newington NH 03801
NH,2016-11-08,municipality,NEWMARKET,,Newmarket High School Gym,213 S Main St Newmarket NH 03857
NH,2016-11-08,municipality,NEWPORT,,Newport Town Hall,20 Main St Newport NH 03773
NH,2016-11-08,municipality,NEWTON,,Newton Town Hall,2 Town Hall Rd Newton NH 03858
NH,2016-11-08,municipality,NORTH HAMPTON,,North Hampton Town Hall,231 Atlantic Ave North Hampton NH 03862
NH,2016-11-08,municipality,NORTHFIELD,,Pines Community Center,61 Summer St Northfield NH 03276
NH,2016-11-08,municipality,NORTHUMBERLAND,,Northumberland Town Hall,10 Station Square St Northumberland NH 03582
NH,2016-11-08,municipality,NORTHWOOD,,St. Joseph's Parish Hall,844 1St Nh Tpke Northwood NH 03261
NH,2016-11-08,municipality,NOTTINGHAM,,Community Center,139 Stage Rd Nottingham NH 03290
NH,2016-11-08,municipality,ORANGE,,Orange Town House,8 Townhouse Rd Orange NH 03741
NH,2016-11-08,municipality,ORFORD,,Orford Town Office,2529 Route 25A Orford NH 03777
NH,2016-11-08,municipality,OSSIPEE,,Ossipee Town Hall,55 Main St Ossipee NH 03814
NH,2016-11-08,municipality,PELHAM,,Pelham High School,85 Marsh Rd Pelham NH 03076
NH,2016-11-08,municipality,PEMBROKE,,Pembroke Three Rivers,School 243 Academy Rd Pembroke NH 03275
NH,2016-11-08,municipality,PETERBOROUGH,,Peterborough Town House,1 Grove St Peterborough NH 03458
NH,2016-11-08,municipality,PIERMONT,,Old Church Building,129 Route 10 Piermont NH 03779
NH,2016-11-08,municipality,PINKHAM'S GRANT,,Gorham Town Hall,20 Park St Pinkham's Grant NH 03581
NH,2016-11-08,municipality,PITTSBURG,,Pittsburg School,12 School St Pittsburg NH 03592
NH,2016-11-08,municipality,PITTSFIELD,,Pittsfield Town Hall,85 Main St Pittsfield NH 03263
NH,2016-11-08,municipality,PLAISTOW,,Pollard School Gym,120 Main St Plaistow NH 03865
NH,2016-11-08,municipality,PLYMOUTH,,Plymouth Elementary School,43 Old Ward Bridge Rd Plymouth NH 03264
NH,2016-11-08,municipality,PORTSMOUTH ,WARD 01,WARD 01 - New Franklin,School 1 Franklin Dr Portsmouth NH 03801
NH,2016-11-08,municipality,PORTSMOUTH ,WARD 02,WARD 02 - Middle School,155 Parrott Ave Portsmouth NH 03801
NH,2016-11-08,municipality,PORTSMOUTH ,WARD 03,WARD 03 - Robert J. Lister,Academy 35 Sherburne Rd Portsmouth NH 03801
NH,2016-11-08,municipality,PORTSMOUTH ,WARD 04,WARD 04 - Portsmouth High,School 50 Andrew Jarvis Dr Portsmouth NH 03801
NH,2016-11-08,municipality,PORTSMOUTH ,WARD 05,WARD 05 - Little Harbour,School 50 Clough Dr Portsmouth NH 03801
NH,2016-11-08,municipality,RANDOLPH,,Randolph Town Hall,130 Durand Rd Randolph NH 03593
NH,2016-11-08,municipality,RAYMOND,,Iber Holmes Gove Middle,School 1 Stephen K Batchelder Pkwy Raymond NH 03077
NH,2016-11-08,municipality,RICHMOND,,Veterans Memorial Hall,150 Old Homestead Hwy Richmond NH 03470
NH,2016-11-08,municipality,RINDGE,,Rindge Memorial School,58 School St Rindge NH 03461
NH,2016-11-08,municipality,ROCHESTER ,WARD 01,WARD 01 - East Rochester,Elementary School 773 Portland St Rochester NH 03868
